abandon	əˈbændən
absorbable	əbˈsɔːbəbl
absorbent	əbˈsɔːbənt
absorbency	əbˈsɔːbənsi
absorbing	əbˈsɔːbɪŋ
abstainer	əbˈsteɪnə(r)
abstemious	əbˈstiːmiəs
abstention	əbˈstenʃn
abstinent	ˈæbstɪnənt
absorbance	əbˈsɔːbəns
abstraction	æbˈstrækʃn
abstractionism	æbˈstrækʃnɪzəm
abstractionist	æbˈstrækʃnɪst
absorption	əbˈsɔːpʃn
abstain	əbˈsteɪn
abstinence	ˈæbstɪnəns
absorbed	əbˈsɔːbd
abstracted	æbˈstræktɪd
abstractedly	æbˈstræktɪdli
abstruse	əbˈstruːs
absurdism	əbˈsɜːdɪzəm
absurdist	əbˈsɜːdɪst
absurdist	əbˈsɜːdɪst
abundance	əˈbʌndəns
abuse	əˈbjuːs
abundantly	əˈbʌndəntli
abstract	ˈæbstrækt
abstractly	ˈæbstræktli
abusive	əˈbjuːsɪv
abusively	əˈbjuːsɪvli
abundant	əˈbʌndənt
academic	ˌækəˈdemɪk
academically	ˌækəˈdemɪkli
abyssal	əˈbɪsl
academia	ˌækəˈdiːmiə
acacia	əˈkeɪʃə
abyss	əˈbɪs
academician	əˌkædəˈmɪʃn
academicism	ˌækəˈdemɪsɪzəm
acanthus	əˈkænθəs
accede	əkˈsiːd
accent	ˈæksent
acceleration	əkˌseləˈreɪʃn
accelerator	əkˈseləreɪtə(r)
accented	ˈæksentɪd
accelerometer	əkˌseləˈrɒmɪtə(r)
accelerate	əkˈseləreɪt
accentuate	əkˈsentʃueɪt
accentuation	əkˌsentʃuˈeɪʃn
accept	əkˈsept
acceptable	əkˈseptəbl
acceptability	əkˌseptəˈbɪləti
acceptably	əkˈseptəbli
access	ˈækses
acceptation	ˌæksepˈteɪʃn
acceptance	əkˈseptəns
accessible	əkˈsesəbl
accessibility	əkˌsesəˈbɪləti
accession	ækˈseʃn
accessorize	əkˈsesəraɪz
accidence	ˈæksɪdəns
accident	ˈæksɪdənt
accidental	ˌæksɪˈdentl
accidentally	ˌæksɪˈdentəli
acclaim	əˈkleɪm
acclamation	ˌækləˈmeɪʃn
acclimate	ˈækləmeɪt
acclimation	ˌækləˈmeɪʃn
acclimatize	əˈklaɪmətaɪz
acclimatization	əˌklaɪmətaɪˈzeɪʃn
accolade	ˈækəleɪd
accommodation	əˌkɒməˈdeɪʃn
accommodating	əˈkɒmədeɪtɪŋ
accommodate	əˈkɒmədeɪt
accompaniment	əˈkʌmpənimənt
accompanist	əˈkʌmpənɪst
accord	əˈkɔːd
accomplished	əˈkʌmplɪʃt
accomplishment	əˈkʌmplɪʃmənt
accordance	əˈkɔːdns
accordingly	əˈkɔːdɪŋli
accost	əˈkɒst
account	əˈkaʊnt
accordion	əˈkɔːdiən
accountable	əˈkaʊntəbl
accountability	əˌkaʊntəˈbɪləti
accomplice	əˈkʌmplɪs
accountancy	əˈkaʊntənsi
accomplish	əˈkʌmplɪʃ
accoutre	əˈkuːtə(r)
accrue	əˈkruː
accrual	əˈkruːəl
accretion	əˈkriːʃn
accoutrements	əˈkuːtrəmənts
accounting	əˈkaʊntɪŋ
accredited	əˈkredɪtɪd
accredit	əˈkredɪt
accreditation	əˌkredɪˈteɪʃn
acculturate	əˈkʌltʃəreɪt
acculturation	əˌkʌltʃəˈreɪʃn
accumulate	əˈkjuːmjəleɪt
accumulation	əˌkjuːmjəˈleɪʃn
accuracy	ˈækjərəsi
accursed	əˈkɜːsɪd
accountant	əˈkaʊntənt
accurate	ˈækjərət
accurately	ˈækjərətli
accumulator	əˈkjuːmjəleɪtə(r)
accumulative	əˈkjuːmjələtɪv
accusation	ˌækjuˈzeɪʃn
accuse	əˈkjuːz
accuser	əˈkjuːzə(r)
accusatory	əˈkjuːzətəri
ace	eɪs
accusing	əˈkjuːzɪŋ
accusingly	əˈkjuːzɪŋli
accustomed	əˈkʌstəmd
acellular	ˌeɪˈseljələ(r)
accustom	əˈkʌstəm
acerbic	əˈsɜːbɪk
acerbity	əˈsɜːbəti
acetaminophen	əˌsiːtəˈmɪnəfen
accusative	əˈkjuːzətɪv
acetone	ˈæsɪtəʊn
acetate	ˈæsɪteɪt
ache	eɪk
achieve	əˈtʃiːv
achievable	əˈtʃiːvəbl
achievement	əˈtʃiːvmənt
achiever	əˈtʃiːvə(r)
achingly	ˈeɪkɪŋli
acetylene	əˈsetəliːn
achy	ˈeɪki
acidity	əˈsɪdəti
acidic	əˈsɪdɪk
acidly	ˈæsɪdli
acidulous	əˈsɪdjələs
acid	ˈæsɪd
ackee	ˈæki
acknowledgement	əkˈnɒlɪdʒmənt
acolyte	ˈækəlaɪt
acknowledge	əkˈnɒlɪdʒ
acme	ˈækmi
acne	ˈækni
acquaintance	əˈkweɪntəns
acquaintanceship	əˈkweɪntənsʃɪp
acquiescence	ˌækwiˈesns
acquiescent	ˌækwiˈesnt
acorn	ˈeɪkɔːn
aconite	ˈækənaɪt
acoustician	ˌækuːˈstɪʃn
acoustics	əˈkuːstɪks
acoustic	əˈkuːstɪk
acoustically	əˈkuːstɪkli
acquiesce	ˌækwiˈes
acquire	əˈkwaɪə(r)
acquainted	əˈkweɪntɪd
acquaint	əˈkweɪnt
acquisitive	əˈkwɪzətɪv
acquisitiveness	əˈkwɪzətɪvnəs
acquisition	ˌækwɪˈzɪʃn
acre	ˈeɪkə(r)
acreage	ˈeɪkərɪdʒ
acrid	ˈækrɪd
acquittal	əˈkwɪtl
acrobat	ˈækrəbæt
acrobatic	ˌækrəˈbætɪk
acrobatically	ˌækrəˈbætɪkli
acrimonious	ˌækrɪˈməʊniəs
acrimoniously	ˌækrɪˈməʊniəsli
acrimony	ˈækrɪməni
acrobatics	ˌækrəˈbætɪks
acrolect	ˈækrəlekt
across	əˈkrɒs
acronym	ˈækrənɪm
acrylic	əˈkrɪlɪk
acropolis	əˈkrɒpəlɪs
act	ækt
acrylamide	əˈkrɪləmaɪd
acrostic	əˈkrɒstɪk
acting	ˈæktɪŋ
actinium	ækˈtɪniəm
action	ˈækʃn
active	ˈæktɪv
actively	ˈæktɪvli
activate	ˈæktɪveɪt
activation	ˌæktɪˈveɪʃn
actionable	ˈækʃənəbl
activist	ˈæktɪvɪst
activism	ˈæktɪvɪzəm
actress	ˈæktrəs
actor	ˈæktə(r)
actual	ˈæktʃuəl
actually	ˈæktʃuəli
actuate	ˈæktʃueɪt
acumen	ˈækjəmən
acuity	əˈkjuːəti
acupressure	ˈækjupreʃə(r)
acupuncturist	ˈækjupʌŋktʃərɪst
acutely	əˈkjuːtli
actualize	ˈæktʃuəlaɪz
acute	əˈkjuːt
acuteness	əˈkjuːtnəs
ad	ˌeɪ ˈdiː
acyclovir	eɪˈsaɪkləvɪə(r)
acyclic	ˌeɪˈsaɪklɪk
adage	ˈædɪdʒ
adamantine	ˌædəˈmæntaɪn
adamant	ˈædəmənt
adamantly	ˈædəməntli
adapt	əˈdæpt
adaptation	ˌædæpˈteɪʃn
adaptable	əˈdæptəbl
adaptability	əˌdæptəˈbɪləti
adaptive	əˈdæptɪv
adaptor	əˈdæptə(r)
add	æd
addendum	əˈdendəm
addenda	əˈdendə
addicted	əˈdɪktɪd
addictive	əˈdɪktɪv
addict	ˈædɪkt
addiction	əˈdɪkʃn
additional	əˈdɪʃənl
additionally	əˈdɪʃənəli
addition	əˈdɪʃn
address	əˈdres
adder	ˈædə(r)
additive	ˈædətɪv
addressable	əˈdresəbl
addled	ˈædld
addressee	ˌædreˈsiː
addle	ˈædl
adductor	əˈdʌktə(r)
adduce	əˈdjuːs
adenoids	ˈædənɔɪdz
adenoidal	ˌædəˈnɔɪdl
adequate	ˈædɪkwət
adequacy	ˈædɪkwəsi
adequately	ˈædɪkwətli
adhere	ədˈhɪə(r)
adherent	ədˈhɪərənt
adept	əˈdept
adept	ˈædept
adeptly	əˈdeptli
adherence	ədˈhɪərəns
adhesive	ədˈhiːsɪv
adhesion	ədˈhiːʒn
adieu	əˈdjuː
adipose	ˈædɪpəʊs
adjoin	əˈdʒɔɪn
adjoining	əˈdʒɔɪnɪŋ
adjacent	əˈdʒeɪsnt
adjective	ˈædʒɪktɪv
adjectival	ˌædʒekˈtaɪvl
adjectivally	ˌædʒekˈtaɪvəli
adjourn	əˈdʒɜːn
adjournment	əˈdʒɜːnmənt
adjudge	əˈdʒʌdʒ
adjunct	ˈædʒʌŋkt
adjure	əˈdʒʊə(r)
adjudicate	əˈdʒuːdɪkeɪt
adjudication	əˌdʒuːdɪˈkeɪʃn
adjudicator	əˈdʒuːdɪkeɪtə(r)
adjustable	əˈdʒʌstəbl
adjust	əˈdʒʌst
adjustment	əˈdʒʌstmənt
adjutant	ˈædʒʊtənt
adman	ˈædmæn
admen	ˈædmen
administer	ədˈmɪnɪstə(r)
administrative	ədˈmɪnɪstrətɪv
administratively	ədˈmɪnɪstrətɪvli
administrator	ədˈmɪnɪstreɪtə(r)
administration	ədˌmɪnɪˈstreɪʃn
admirable	ˈædmərəbl
admirably	ˈædmərəbli
admiralty	ˈædmərəlti
admiral	ˈædmərəl
admiration	ˌædməˈreɪʃn
admire	ədˈmaɪə(r)
admiring	ədˈmaɪərɪŋ
admiringly	ədˈmaɪərɪŋli
admission	ədˈmɪʃn
admissible	ədˈmɪsəbl
admissibility	ədˌmɪsəˈbɪləti
admirer	ədˈmaɪərə(r)
admittance	ədˈmɪtns
admonish	ədˈmɒnɪʃ
admittedly	ədˈmɪtɪdli
admonition	ˌædməˈnɪʃn
admonitory	ədˈmɒnɪtri
admixture	ədˈmɪkstʃə(r)
ado	əˈduː
adolescence	ˌædəˈlesns
adobe	əˈdəʊbi
adolescent	ˌædəˈlesnt
adonis	əˈdəʊnɪs
adopt	əˈdɒpt
adopted	əˈdɒptɪd
adopter	əˈdɒptə(r)
adoption	əˈdɒpʃn
adorable	əˈdɔːrəbl
adorably	əˈdɔːrəbli
adore	əˈdɔː(r)
adoration	ˌædəˈreɪʃn
adoring	əˈdɔːrɪŋ
adoringly	əˈdɔːrɪŋli
adrenaline	əˈdrenəlɪn
adrift	əˈdrɪft
adorn	əˈdɔːn
adornment	əˈdɔːnmənt
adoptive	əˈdɒptɪv
adroit	əˈdrɔɪt
adroitly	əˈdrɔɪtli
adroitness	əˈdrɔɪtnəs
adsorb	ədˈsɔːb
adsorbent	ədˈzɔːbənt
adult	ˈædʌlt
adulation	ˌædjuˈleɪʃn
adulatory	ˌædjuˈleɪtəri
adultery	əˈdʌltəri
adulterous	əˈdʌltərəs
adulthood	ˈædʌlthʊd
adulteress	əˈdʌltərəs
adumbrate	ˈædəmbreɪt
adulterate	əˈdʌltəreɪt
adulteration	əˌdʌltəˈreɪʃn
advantage	ədˈvɑːntɪdʒ
advance	ədˈvɑːns
adulterer	əˈdʌltərə(r)
advanced	ədˈvɑːnst
advantageous	ˌædvənˈteɪdʒəs
advantageously	ˌædvənˈteɪdʒəsli
advancement	ədˈvɑːnsmənt
advancing	ədˈvɑːnsɪŋ
adventitious	ˌædvenˈtɪʃəs
adventurer	ədˈventʃərə(r)
adventure	ədˈventʃə(r)
adventurous	ədˈventʃərəs
adventurously	ədˈventʃərəsli
advantaged	ədˈvɑːntɪdʒd
adventurism	ədˈventʃərɪzəm
adventuresome	ədˈventʃəsəm
adventuress	ədˈventʃəres
adversarial	ˌædvəˈseəriəl
advent	ˈædvent
adversative	ədˈvɜːsətɪv
adverse	ˈædvɜːs
adversely	ˈædvɜːsli
advert	ˈædvɜːt
advertise	ˈædvətaɪz
advertiser	ˈædvətaɪzə(r)
advertising	ˈædvətaɪzɪŋ
adverb	ˈædvɜːb
adverbial	ædˈvɜːbiəl
advice	ədˈvaɪs
advisedly	ədˈvaɪzədli
advisable	ədˈvaɪzəbl
advisability	ədˌvaɪzəˈbɪləti
advisory	ədˈvaɪzəri
advertorial	ˌædvəˈtɔːriəl
advisement	ədˈvaɪzmənt
adviser	ədˈvaɪzə(r)
advise	ədˈvaɪz
advocate	ˈædvəkeɪt
advocacy	ˈædvəkəsi
adze	ædz
adzuki	ədˈzuːki
advertisement	ədˈvɜːtɪsmənt
aeolian	iːˈəʊliən
aegis	ˈiːdʒɪs
aerate	ˈeəreɪt
aeration	eəˈreɪʃn
aerial	ˈeəriəl
aerialist	ˈeəriəlɪst
aero	ˈeərəʊ
aeon	ˈiːən
aerodynamics	ˌeərəʊdaɪˈnæmɪks
aerodynamic	ˌeərəʊdaɪˈnæmɪk
aerodynamically	ˌeərəʊdaɪˈnæmɪkli
aerobatics	ˌeərəˈbætɪks
aerobatic	ˌeərəˈbætɪk
aerobics	eəˈrəʊbɪks
aerodrome	ˈeərədrəʊm
aerogramme	ˈeərəɡræm
aerofoil	ˈeərəfɔɪl
aeronautics	ˌeərəˈnɔːtɪks
aeronautical	ˌeərəˈnɔːtɪkl
aeronaut	ˈeərənɔːt
aeroplane	ˈeərəpleɪn
aerosol	ˈeərəsɒl
aesthetic	iːsˈθetɪk
aesthetically	iːsˈθetɪkli
aerospace	ˈeərəʊspeɪs
aerostat	ˈeərəstæt
aerobic	eəˈrəʊbɪk
aesthete	ˈiːsθiːt
aetiology	ˌiːtiˈɒlədʒi
afar	əˈfɑː(r)
affect	əˈfekt
affable	ˈæfəbl
affability	ˌæfəˈbɪləti
affably	ˈæfəbli
affair	əˈfeə(r)
affaire	əˈfeə(r)
affecting	əˈfektɪŋ
affection	əˈfekʃn
affectation	ˌæfekˈteɪʃn
affectionate	əˈfekʃənət
affectionately	əˈfekʃənətli
affiliate	əˈfɪlieɪt
affidavit	ˌæfəˈdeɪvɪt
affiliated	əˈfɪlieɪtɪd
affirmative	əˈfɜːmətɪv
affirmatively	əˈfɜːmətɪvli
affiliation	əˌfɪliˈeɪʃn
affix	əˈfɪks
affirm	əˈfɜːm
affirmation	ˌæfəˈmeɪʃn
affective	əˈfektɪv
affectively	əˈfektɪvli
affliction	əˈflɪkʃn
affected	əˈfektɪd
affectedly	əˈfektɪdli
afflict	əˈflɪkt
affluent	ˈæfluənt
affluence	ˈæfluəns
afforestation	əˌfɒrɪˈsteɪʃn
afforest	əˈfɒrɪst
affray	əˈfreɪ
affront	əˈfrʌnt
affricate	ˈæfrɪkət
afoul	əˈfaʊl
afloat	əˈfləʊt
afraid	əˈfreɪd
aforethought	əˈfɔːθɔːt
aforementioned	əˌfɔːˈmenʃənd
after	ˈɑːftə(r)
afield	əˈfiːld
afresh	əˈfreʃ
aft	ɑːft
afterbirth	ˈɑːftəbɜːθ
aflame	əˈfleɪm
afterburner	ˈɑːftəbɜːnə(r)
afterglow	ˈɑːftəɡləʊ
afghan	ˈæfɡæn
aftercare	ˈɑːftəkeə(r)
afterlife	ˈɑːftəlaɪf
afoot	əˈfʊt
aftermath	ˈɑːftəmæθ
aftermost	ˈɑːftəməʊst
afters	ˈɑːftəz
afternoon	ˌɑːftəˈnuːn
aftershave	ˈɑːftəʃeɪv
aftershock	ˈɑːftəʃɒk
afternoons	ˌɑːftəˈnuːnz
afterword	ˈɑːftəwɜːd
aga	ˈɑːɡə
against	əˈɡenst
ag	æx
agaric	ˈæɡərɪk
afterthought	ˈɑːftəθɔːt
agate	ˈæɡət
aftertaste	ˈɑːftəteɪst
age	eɪdʒ
agape	əˈɡeɪp
ageing	ˈeɪdʒɪŋ
afterwards	ˈɑːftəwədz
agar	ˈeɪɡɑː(r)
agave	əˈɡeɪvi
ageism	ˈeɪdʒɪzəm
ageist	ˈeɪdʒɪst
ageist	ˈeɪdʒɪst
aged	eɪdʒd
agent	ˈeɪdʒənt
ageless	ˈeɪdʒləs
agglomerate	əˈɡlɒməreɪt
agglutinative	əˈɡluːtɪnətɪv
aggrandizement	əˈɡrændɪzmənt
aggravate	ˈæɡrəveɪt
aggravating	ˈæɡrəveɪtɪŋ
aggravation	ˌæɡrəˈveɪʃn
aggregate	ˈæɡrɪɡət
aggravated	ˈæɡrəveɪtɪd
aggressor	əˈɡresə(r)
agglomeration	əˌɡlɒməˈreɪʃn
aghast	əˈɡɑːst
aggression	əˈɡreʃn
agitate	ˈædʒɪteɪt
aggrieved	əˈɡriːvd
agitator	ˈædʒɪteɪtə(r)
agitated	ˈædʒɪteɪtɪd
agitprop	ˈædʒɪtprɒp
agitation	ˌædʒɪˈteɪʃn
aggressive	əˈɡresɪv
aggressively	əˈɡresɪvli
aggressiveness	əˈɡresɪvnəs
agitato	ˌædʒɪˈtɑːtəʊ
aggro	ˈæɡrəʊ
agile	ˈædʒaɪl
agility	əˈdʒɪləti
agleam	əˈɡliːm
agnosia	æɡˈnəʊsiə
aglow	əˈɡləʊ
agnostic	æɡˈnɒstɪk
agnosticism	æɡˈnɒstɪsɪzəm
agog	əˈɡɒɡ
ago	əˈɡəʊ
agonized	ˈæɡənaɪzd
agora	ˈæɡɒrə
agorae	ˈæɡɒriː
agoras	ˈæɡɒriː
agoraphobia	ˌæɡərəˈfəʊbiə
agonizingly	ˈæɡənaɪzɪŋli
agonize	ˈæɡənaɪz
agoraphobic	ˌæɡərəˈfəʊbɪk
agonizing	ˈæɡənaɪzɪŋ
agraphia	əˈɡræfiə
agrarian	əˈɡreəriən
agreeable	əˈɡriːəbl
agriculturalist	ˌæɡrɪˈkʌltʃərəlɪst
agribusiness	ˈæɡrɪbɪznəs
agreeably	əˈɡriːəbli
aground	əˈɡraʊnd
agroforestry	ˈæɡrəʊfɒrɪstri
ague	ˈeɪɡjuː
ah	ˌeɪ ˈeɪtʃ
aid	eɪd
ai	ˌeɪ ˈaɪ
ahead	əˈhed
agronomist	əˈɡrɒnəmɪst
agronomy	əˈɡrɒnəmi
aha	ɑːˈhɑː
ahistorical	ˌeɪhɪˈstɒrɪkl
agriculture	ˈæɡrɪkʌltʃə(r)
agricultural	ˌæɡrɪˈkʌltʃərəl
aiding	ˈeɪdɪŋ
agrochemical	ˌæɡrəʊˈkemɪkl
ahchoo	ɑːˈtʃuː
ahem	əˈhem
aids	eɪdz
ahoy	əˈhɔɪ
aim	eɪm
aileron	ˈeɪlərɒn
ailing	ˈeɪlɪŋ
ailment	ˈeɪlmənt
aide	eɪd
agreement	əˈɡriːmənt
aikido	aɪˈkiːdəʊ
air	eə(r)
ail	eɪl
airborne	ˈeəbɔːn
airbus	ˈeəbʌs
aimless	ˈeɪmləs
aimlessly	ˈeɪmləsli
aimlessness	ˈeɪmləsnəs
aircrew	ˈeəkruː
airer	ˈeərə(r)
aioli	aɪˈəʊli
airfreight	ˈeəfreɪt
airfield	ˈeəfiːld
airily	ˈeərəli
airhead	ˈeəhed
airfoil	ˈeəfɔɪl
airlift	ˈeəlɪft
airdrome	ˈeədrəʊm
airing	ˈeərɪŋ
airbrush	ˈeəbrʌʃ
airflow	ˈeəfləʊ
airfare	ˈeəfeə(r)
airless	ˈeələs
airline	ˈeəlaɪn
airmail	ˈeəmeɪl
airplane	ˈeəpleɪn
airliner	ˈeəlaɪnə(r)
airman	ˈeəmən
airmen	ˈeəmən
airwomen	ˈeəmən
airport	ˈeəpɔːt
airsick	ˈeəsɪk
airsickness	ˈeəsɪknəs
airspace	ˈeəspeɪs
agree	əˈɡriː
airplay	ˈeəpleɪ
airtight	ˈeətaɪt
airship	ˈeəʃɪp
airspeed	ˈeəspiːd
airstream	ˈeəstriːm
airstrip	ˈeəstrɪp
airway	ˈeəweɪ
aisle	aɪl
airwaves	ˈeəweɪvz
airtime	ˈeətaɪm
airworthy	ˈeəwɜːði
airworthiness	ˈeəwɜːðinəs
akimbo	əˈkɪmbəʊ
alack	əˈlæk
alacrity	əˈlækrəti
aitch	eɪtʃ
ajar	əˈdʒɑː(r)
alabaster	ˈæləbɑːstə(r)
alarm	əˈlɑːm
alarming	əˈlɑːmɪŋ
alarmingly	əˈlɑːmɪŋli
alas	əˈlæs
alarmed	əˈlɑːmd
albatross	ˈælbətrɒs
alb	ælb
akin	əˈkɪn
albeit	ˌɔːlˈbiːɪt
alarmist	əˈlɑːmɪst
albumen	ˈælbjumɪn
album	ˈælbəm
albinism	ˈælbɪnɪzəm
alchemist	ˈælkəmɪst
alcoholic	ˌælkəˈhɒlɪk
alcohol	ˈælkəhɒl
alcoholism	ˈælkəhɒlɪzəm
alcove	ˈælkəʊv
alder	ˈɔːldə(r)
alderman	ˈɔːldəmən
aldermen	ˈɔːldəmən
alderwoman	ˈɔːldəwɪmɪn
alderwomen	ˈɔːldəwɪmɪn
alchemy	ˈælkəmi
alehouse	ˈeɪlhaʊs
ale	eɪl
alexia	əˈleksiə
algae	ˈældʒiː
algal	ˈælɡəl
alga	ˈælɡə
alert	əˈlɜːt
alertly	əˈlɜːtli
alertness	əˈlɜːtnəs
algebra	ˈældʒɪbrə
algebraic	ˌældʒɪˈbreɪɪk
alexandrine	ˌælɪɡˈzɑːndrɪn
algicide	ˈældʒɪsaɪd
alibi	ˈæləbaɪ
alien	ˈeɪliən
alfalfa	ælˈfælfə
algorithm	ˈælɡərɪðəm
alias	ˈeɪliəs
alight	əˈlaɪt
align	əˈlaɪn
alienable	ˈeɪliənəbl
alienate	ˈeɪliəneɪt
alienation	ˌeɪliəˈneɪʃn
alignment	əˈlaɪnmənt
alimony	ˈælɪməni
alive	əˈlaɪv
alkaline	ˈælkəlaɪn
alkalinity	ˌælkəˈlɪnəti
alike	əˈlaɪk
aliquot	ˈælɪkwɒt
alkali	ˈælkəlaɪ
alkaloid	ˈælkəlɔɪd
alkane	ˈælkeɪn
alkene	ˈælkiːn
allay	əˈleɪ
allege	əˈledʒ
alleged	əˈledʒd
allegedly	əˈledʒɪdli
allegation	ˌæləˈɡeɪʃn
allegiance	əˈliːdʒəns
alleluia	ˌælɪˈluːjə
allele	əˈliːl
all	ɔːl
allergen	ˈælədʒən
allergic	əˈlɜːdʒɪk
alliance	əˈlaɪəns
alligator	ˈælɪɡeɪtə(r)
alleviate	əˈliːvieɪt
alleviation	əˌliːviˈeɪʃn
alliteration	əˌlɪtəˈreɪʃn
alliterative	əˈlɪtrətɪv
allium	ˈæliəm
alley	ˈæli
allomorph	ˈæləmɔːf
allocate	ˈæləkeɪt
allophone	ˈæləfəʊn
allied	ˈælaɪd
allocation	ˌæləˈkeɪʃn
allotment	əˈlɒtmənt
allotrope	ˈælətrəʊp
allotropy	əˈlɒtrəpi
allosaurus	ˌæləˈsɔːrəs
allowance	əˈlaʊəns
allow	əˈlaʊ
allowable	əˈlaʊəbl
allure	əˈlʊə(r)
alluring	əˈlʊərɪŋ
alluringly	əˈlʊərɪŋli
allusion	əˈluːʒn
allusive	əˈluːsɪv
alluvial	əˈluːviəl
alloy	ˈælɔɪ
allspice	ˈɔːlspaɪs
alluvium	əˈluːviəm
almanac	ˈɔːlmənæk
almighty	ɔːlˈmaɪti
allude	əˈluːd
almond	ˈɑːmənd
almshouse	ˈɑːmzhaʊs
almost	ˈɔːlməʊst
alms	ɑːmz
almoner	ˈɑːmənə(r)
aloe	ˈæləʊ
aloft	əˈlɒft
aloha	əˈləʊhə
alongside	əˌlɒŋˈsaɪd
alone	əˈləʊn
alpaca	ælˈpækə
aloud	əˈlaʊd
alpenhorn	ˈælpənhɔːn
alpha	ˈælfə
aloof	əˈluːf
aloofness	əˈluːfnəs
alphabetical	ˌælfəˈbetɪkl
alphabetically	ˌælfəˈbetɪkli
alopecia	ˌæləˈpiːʃə
alphanumeric	ˌælfənjuːˈmerɪk
alphabetize	ˈælfəbətaɪz
alphabet	ˈælfəbet
alpine	ˈælpaɪn
alright	ɔːlˈraɪt
alphabetic	ˌælfəˈbetɪk
alpinist	ˈælpɪnɪst
alpinism	ˈælpɪnɪzəm
altar	ˈɔːltə(r)
altarpiece	ˈɔːltəpiːs
alphorn	ˈælphɔːn
alter	ˈɔːltə(r)
alterable	ˈɔːltərəbl
alternative	ɔːlˈtɜːnətɪv
altercation	ˌɔːltəˈkeɪʃn
alternatively	ɔːlˈtɜːnətɪvli
although	ɔːlˈðəʊ
altitude	ˈæltɪtjuːd
altruism	ˈæltruɪzəm
altruistic	ˌæltruˈɪstɪk
alternator	ˈɔːltəneɪtə(r)
alteration	ˌɔːltəˈreɪʃn
altostratus	ˌæltəʊˈstrɑːtəs
altostrati	ˌæltəʊˈstrɑːtaɪ
alternate	ɔːlˈtɜːnət
alternately	ɔːlˈtɜːnətli
altocumulus	ˌæltəʊˈkjuːmjʊləs
altocumuli	ˌæltəʊˈkjuːmjʊlaɪ
already	ɔːlˈredi
aluminium	ˌæljəˈmɪniəm
alumni	əˈlʌmnaɪ
alveolar	ælˈviːələ(r)
alumina	əˈluːmɪnə
alum	ˈæləm
