a	eɪ
acetone	ˈæsɪtəʊn
accrue	əˈkruː
accrual	əˈkruːəl
accustom	əˈkʌstəm
acetate	ˈæsɪteɪt
accustomed	əˈkʌstəmd
achingly	ˈeɪkɪŋli
accuse	əˈkjuːz
accuser	əˈkjuːzə(r)
ache	eɪk
acerbic	əˈsɜːbɪk
acerbity	əˈsɜːbəti
acetylene	əˈsetəliːn
achiever	əˈtʃiːvə(r)
achkan	ˈʌʃkən
achievement	əˈtʃiːvmənt
achieve	əˈtʃiːv
achievable	əˈtʃiːvəbl
acid	ˈæsɪd
achy	ˈeɪki
accusative	əˈkjuːzətɪv
acidly	ˈæsɪdli
acidic	əˈsɪdɪk
acidulous	əˈsɪdjələs
acidify	əˈsɪdɪfaɪ
acidity	əˈsɪdəti
ackee	ˈæki
acknowledge	əkˈnɒlɪdʒ
acme	ˈækmi
acknowledgement	əkˈnɒlɪdʒmənt
acne	ˈækni
acorn	ˈeɪkɔːn
acolyte	ˈækəlaɪt
aconite	ˈækənaɪt
acoustician	ˌækuːˈstɪʃn
acoustic	əˈkuːstɪk
acoustically	əˈkuːstɪkli
acquaintanceship	əˈkweɪntənsʃɪp
acquaintance	əˈkweɪntəns
acquaint	əˈkweɪnt
acoustics	əˈkuːstɪks
acquiesce	ˌækwiˈes
acquiescence	ˌækwiˈesns
acquiescent	ˌækwiˈesnt
acquainted	əˈkweɪntɪd
acquire	əˈkwaɪə(r)
acquisitive	əˈkwɪzətɪv
acquisitiveness	əˈkwɪzətɪvnəs
acquittal	əˈkwɪtl
acre	ˈeɪkə(r)
acquit	əˈkwɪt
acquisition	ˌækwɪˈzɪʃn
acreage	ˈeɪkərɪdʒ
acrimony	ˈækrɪməni
acrobat	ˈækrəbæt
acrobatic	ˌækrəˈbætɪk
acrobatically	ˌækrəˈbætɪkli
acrimonious	ˌækrɪˈməʊniəs
acrimoniously	ˌækrɪˈməʊniəsli
acrobatics	ˌækrəˈbætɪks
acronym	ˈækrənɪm
acrostic	əˈkrɒstɪk
acrylic	əˈkrɪlɪk
across	əˈkrɒs
acropolis	əˈkrɒpəlɪs
acting	ˈæktɪŋ
act	ækt
acrid	ˈækrɪd
actinium	ækˈtɪniəm
actioner	ˈækʃənə(r)
action	ˈækʃn
active	ˈæktɪv
actively	ˈæktɪvli
actual	ˈæktʃuəl
activate	ˈæktɪveɪt
activation	ˌæktɪˈveɪʃn
activist	ˈæktɪvɪst
activism	ˈæktɪvɪzəm
actress	ˈæktrəs
activity	ækˈtɪvəti
actor	ˈæktə(r)
actuality	ˌæktʃuˈæləti
actionable	ˈækʃənəbl
actualize	ˈæktʃuəlaɪz
actually	ˈæktʃuəli
acupuncture	ˈækjupʌŋktʃə(r)
actuary	ˈæktʃuəri
actuarial	ˌæktʃuˈeəriəl
acumen	ˈækjəmən
acuity	əˈkjuːəti
actuate	ˈæktʃueɪt
ad	ˌeɪ ˈdiː
acyclovir	eɪˈsaɪkləvɪə(r)
acyclic	ˌeɪˈsaɪklɪk
adage	ˈædɪdʒ
adamant	ˈædəmənt
adamantly	ˈædəməntli
adaptable	əˈdæptəbl
adaptability	əˌdæptəˈbɪləti
adaptation	ˌædæpˈteɪʃn
addictive	əˈdɪktɪv
additive	ˈædətɪv
addled	ˈædld
acutely	əˈkjuːtli
acute	əˈkjuːt
acuteness	əˈkjuːtnəs
adder	ˈædə(r)
add	æd
address	əˈdres
addicted	əˈdɪktɪd
adagio	əˈdɑːdʒiəʊ
addiction	əˈdɪkʃn
adaptor	əˈdæptə(r)
adaptive	əˈdæptɪv
acupuncturist	ˈækjupʌŋktʃərɪst
addressee	ˌædreˈsiː
additional	əˈdɪʃənl
additionally	əˈdɪʃənəli
addressable	əˈdresəbl
addendum	əˈdendəm
addenda	əˈdendə
adapt	əˈdæpt
adduce	əˈdjuːs
adamantine	ˌædəˈmæntaɪn
addition	əˈdɪʃn
adept	əˈdept
adept	ˈædept
adenoids	ˈædənɔɪdz
adenoidal	ˌædəˈnɔɪdl
adhesive	ədˈhiːsɪv
addle	ˈædl
adequate	ˈædɪkwət
adequacy	ˈædɪkwəsi
adherence	ədˈhɪərəns
addict	ˈædɪkt
adductor	əˈdʌktə(r)
adhere	ədˈhɪə(r)
adhesion	ədˈhiːʒn
adherent	ədˈhɪərənt
adipose	ˈædɪpəʊs
adieu	əˈdjuː
adjourn	əˈdʒɜːn
adjournment	əˈdʒɜːnmənt
adjoin	əˈdʒɔɪn
adjoining	əˈdʒɔɪnɪŋ
adjective	ˈædʒɪktɪv
adjectival	ˌædʒekˈtaɪvl
adjudge	əˈdʒʌdʒ
adjudicate	əˈdʒuːdɪkeɪt
adjudication	əˌdʒuːdɪˈkeɪʃn
adjacent	əˈdʒeɪsnt
adjunct	ˈædʒʌŋkt
adjust	əˈdʒʌst
adjutant	ˈædʒʊtənt
adjustable	əˈdʒʌstəbl
adjustment	əˈdʒʌstmənt
admin	ˈædmɪn
administer	ədˈmɪnɪstə(r)
administration	ədˌmɪnɪˈstreɪʃn
administrative	ədˈmɪnɪstrətɪv
administratively	ədˈmɪnɪstrətɪvli
administrator	ədˈmɪnɪstreɪtə(r)
admirable	ˈædmərəbl
admirably	ˈædmərəbli
admiral	ˈædmərəl
admiralty	ˈædmərəlti
admire	ədˈmaɪə(r)
admiring	ədˈmaɪərɪŋ
admission	ədˈmɪʃn
admittedly	ədˈmɪtɪdli
admixture	ədˈmɪkstʃə(r)
admonition	ˌædməˈnɪʃn
admonitory	ədˈmɒnɪtri
adobe	əˈdəʊbi
adolescent	ˌædəˈlesnt
adopted	əˈdɒptɪd
adopter	əˈdɒptə(r)
adoptive	əˈdɒptɪv
admit	ədˈmɪt
admiration	ˌædməˈreɪʃn
admonish	ədˈmɒnɪʃ
admittance	ədˈmɪtns
adoption	əˈdɒpʃn
ado	əˈduː
adopt	əˈdɒpt
adorable	əˈdɔːrəbl
adorably	əˈdɔːrəbli
adoring	əˈdɔːrɪŋ
adoringly	əˈdɔːrɪŋli
adorn	əˈdɔːn
adornment	əˈdɔːnmənt
adoration	ˌædəˈreɪʃn
admirer	ədˈmaɪərə(r)
adolescence	ˌædəˈlesns
adrenaline	əˈdrenəlɪn
adroit	əˈdrɔɪt
adroitly	əˈdrɔɪtli
adult	ˈædʌlt
adsorbent	ədˈzɔːbənt
adrift	əˈdrɪft
adulterer	əˈdʌltərə(r)
adultery	əˈdʌltəri
adulterous	əˈdʌltərəs
adulteress	əˈdʌltərəs
adsorb	ədˈsɔːb
adulterate	əˈdʌltəreɪt
adulteration	əˌdʌltəˈreɪʃn
adulthood	ˈædʌlthʊd
adulation	ˌædjuˈleɪʃn
adulatory	ˌædjuˈleɪtəri
adumbrate	ˈædəmbreɪt
advance	ədˈvɑːns
advantage	ədˈvɑːntɪdʒ
advancement	ədˈvɑːnsmənt
advanced	ədˈvɑːnst
advancing	ədˈvɑːnsɪŋ
advantageous	ˌædvənˈteɪdʒəs
advantageously	ˌædvənˈteɪdʒəsli
adventurer	ədˈventʃərə(r)
advent	ˈædvent
adventurous	ədˈventʃərəs
adventurously	ədˈventʃərəsli
adventuress	ədˈventʃəres
adventitious	ˌædvenˈtɪʃəs
adverb	ˈædvɜːb
adverbial	ædˈvɜːbiəl
adversarial	ˌædvəˈseəriəl
adventuresome	ədˈventʃəsəm
adversary	ˈædvəsəri
adventurism	ədˈventʃərɪzəm
adversative	ədˈvɜːsətɪv
adventure	ədˈventʃə(r)
adverse	ˈædvɜːs
adversely	ˈædvɜːsli
adversely	ədˈvɜːsli
advantaged	ədˈvɑːntɪdʒd
adversity	ədˈvɜːsəti
advice	ədˈvaɪs
advert	ˈædvɜːt
advertise	ˈædvətaɪz
advertising	ˈædvətaɪzɪŋ
advertiser	ˈædvətaɪzə(r)
advertisement	ədˈvɜːtɪsmənt
advisedly	ədˈvaɪzədli
advise	ədˈvaɪz
advisable	ədˈvaɪzəbl
advisability	ədˌvaɪzəˈbɪləti
advisement	ədˈvaɪzmənt
advocate	ˈædvəkeɪt
adviser	ədˈvaɪzə(r)
advisory	ədˈvaɪzəri
advocacy	ˈædvəkəsi
advocaat	ˈædvəkɑː
adzuki	ədˈzuːki
adze	ædz
aegis	ˈiːdʒɪs
aerial	ˈeəriəl
aeolian	iːˈəʊliən
aerate	ˈeəreɪt
aeration	eəˈreɪʃn
aerialist	ˈeəriəlɪst
aerobatics	ˌeərəˈbætɪks
aerobatic	ˌeərəˈbætɪk
aerobics	eəˈrəʊbɪks
aeon	ˈiːən
aerobic	eəˈrəʊbɪk
aerodrome	ˈeərədrəʊm
aerodynamics	ˌeərəʊdaɪˈnæmɪks
aerodynamic	ˌeərəʊdaɪˈnæmɪk
aerogramme	ˈeərəɡræm
aero	ˈeərəʊ
aeroplane	ˈeərəpleɪn
aerofoil	ˈeərəfɔɪl
aeronautics	ˌeərəˈnɔːtɪks
aeronautical	ˌeərəˈnɔːtɪkl
aerospace	ˈeərəʊspeɪs
aerosol	ˈeərəsɒl
aerostat	ˈeərəstæt
aesthete	ˈiːsθiːt
aeronaut	ˈeərənɔːt
aesthetic	iːsˈθetɪk
aesthetically	iːsˈθetɪkli
aetiology	ˌiːtiˈɒlədʒi
afara	əˈfɑːrə
afar	əˈfɑː(r)
affable	ˈæfəbl
affability	ˌæfəˈbɪləti
affaire	əˈfeə(r)
affect	əˈfekt
affair	əˈfeə(r)
affected	əˈfektɪd
affectedly	əˈfektɪdli
affectation	ˌæfekˈteɪʃn
affecting	əˈfektɪŋ
affectionate	əˈfekʃənət
affectionately	əˈfekʃənətli
affection	əˈfekʃn
affiliate	əˈfɪlieɪt
affidavit	ˌæfəˈdeɪvɪt
affective	əˈfektɪv
affectively	əˈfektɪvli
affiliated	əˈfɪlieɪtɪd
affinity	əˈfɪnəti
affiliation	əˌfɪliˈeɪʃn
affirmative	əˈfɜːmətɪv
affirmatively	əˈfɜːmətɪvli
affirm	əˈfɜːm
affirmation	ˌæfəˈmeɪʃn
affix	əˈfɪks
afflict	əˈflɪkt
affliction	əˈflɪkʃn
affluent	ˈæfluənt
affluence	ˈæfluəns
afford	əˈfɔːd
affordability	əˌfɔːdəˈbɪləti
afforestation	əˌfɒrɪˈsteɪʃn
afforest	əˈfɒrɪst
affray	əˈfreɪ
affricate	ˈæfrɪkət
affront	əˈfrʌnt
afield	əˈfiːld
aflame	əˈfleɪm
afoot	əˈfʊt
afghan	ˈæfɡæn
aficionado	əˌfɪʃəˈnɑːdəʊ
afloat	əˈfləʊt
aforethought	əˈfɔːθɔːt
afresh	əˈfreʃ
afoul	əˈfaʊl
after	ˈɑːftə(r)
aft	ɑːft
afterbirth	ˈɑːftəbɜːθ
afterburner	ˈɑːftəbɜːnə(r)
afterglow	ˈɑːftəɡləʊ
aftercare	ˈɑːftəkeə(r)
afternoon	ˌɑːftəˈnuːn
aftershock	ˈɑːftəʃɒk
afro	ˈæfrəʊ
afterwards	ˈɑːftəwədz
afters	ˈɑːftəz
aftermath	ˈɑːftəmæθ
aftermost	ˈɑːftəməʊst
afterword	ˈɑːftəwɜːd
afterthought	ˈɑːftəθɔːt
afternoons	ˌɑːftəˈnuːnz
aftershave	ˈɑːftəʃeɪv
aga	ˈɑːɡə
again	əˈɡen
against	əˈɡenst
aftertaste	ˈɑːftəteɪst
agape	əˈɡeɪp
aged	eɪdʒd
ageing	ˈeɪdʒɪŋ
agaric	ˈæɡərɪk
agave	əˈɡeɪvi
age	eɪdʒ
agate	ˈæɡət
agar	ˈeɪɡɑː(r)
ageless	ˈeɪdʒləs
agency	ˈeɪdʒənsi
agglomerate	əˈɡlɒməreɪt
ageism	ˈeɪdʒɪzəm
ageist	ˈeɪdʒɪst
agglomeration	əˌɡlɒməˈreɪʃn
agenda	əˈdʒendə
agglutinative	əˈɡluːtɪnətɪv
aggravate	ˈæɡrəveɪt
aggravating	ˈæɡrəveɪtɪŋ
aggrandizement	əˈɡrændɪzmənt
agent	ˈeɪdʒənt
aggregate	ˈæɡrɪɡət
aggravated	ˈæɡrəveɪtɪd
aggression	əˈɡreʃn
aggressor	əˈɡresə(r)
aggro	ˈæɡrəʊ
aggrieved	əˈɡriːvd
aggressive	əˈɡresɪv
aggressively	əˈɡresɪvli
agile	ˈædʒaɪl
agility	əˈdʒɪləti
agitation	ˌædʒɪˈteɪʃn
agitated	ˈædʒɪteɪtɪd
agleam	əˈɡliːm
aglow	əˈɡləʊ
aghast	əˈɡɑːst
agitprop	ˈædʒɪtprɒp
agitato	ˌædʒɪˈtɑːtəʊ
agitate	ˈædʒɪteɪt
agnosia	æɡˈnəʊsiə
agog	əˈɡɒɡ
agnostic	æɡˈnɒstɪk
agonized	ˈæɡənaɪzd
ago	əˈɡəʊ
agonize	ˈæɡənaɪz
agoraphobia	ˌæɡərəˈfəʊbiə
agonizingly	ˈæɡənaɪzɪŋli
agree	əˈɡriː
agora	ˈæɡɒrə
agorae	ˈæɡɒriː
agoraphobic	ˌæɡərəˈfəʊbɪk
agony	ˈæɡəni
agribusiness	ˈæɡrɪbɪznəs
agraphia	əˈɡræfiə
agrarian	əˈɡreəriən
agreement	əˈɡriːmənt
agriculture	ˈæɡrɪkʌltʃə(r)
agricultural	ˌæɡrɪˈkʌltʃərəl
agrochemical	ˌæɡrəʊˈkemɪkl
agriculturalist	ˌæɡrɪˈkʌltʃərəlɪst
agreeably	əˈɡriːəbli
agreeable	əˈɡriːəbl
agroforestry	ˈæɡrəʊfɒrɪstri
agronomist	əˈɡrɒnəmɪst
agronomy	əˈɡrɒnəmi
aground	əˈɡraʊnd
ague	ˈeɪɡjuː
aha	ɑːˈhɑː
agonizing	ˈæɡənaɪzɪŋ
ah	ˌeɪ ˈeɪtʃ
ahead	əˈhed
ahistorical	ˌeɪhɪˈstɒrɪkl
ahoy	əˈhɔɪ
ahem	əˈhem
aid	eɪd
ai	ˌeɪ ˈaɪ
aide	eɪd
ailing	ˈeɪlɪŋ
aids	eɪdz
ail	eɪl
aikido	aɪˈkiːdəʊ
aim	eɪm
aimless	ˈeɪmləs
aimlessly	ˈeɪmləsli
air	eə(r)
ailment	ˈeɪlmənt
aileron	ˈeɪlərɒn
airbrush	ˈeəbrʌʃ
airborne	ˈeəbɔːn
aircrew	ˈeəkruː
aircraftman	ˈeəkrɑːftmən
aircraftwoman	ˈeəkrɑːftwʊmən
aircraftmen	ˈeəkrɑːftmən
aircraftwomen	ˈeəkrɑːftwɪmɪn
airfoil	ˈeəfɔɪl
airfare	ˈeəfeə(r)
airdrome	ˈeədrəʊm
airbus	ˈeəbʌs
airhead	ˈeəhed
airing	ˈeərɪŋ
airliner	ˈeəlaɪnə(r)
airship	ˈeəʃɪp
aircraft	ˈeəkrɑːft
airspeed	ˈeəspiːd
airily	ˈeərəli
airer	ˈeərə(r)
airfreight	ˈeəfreɪt
airspace	ˈeəspeɪs
airflow	ˈeəfləʊ
airsick	ˈeəsɪk
airsickness	ˈeəsɪknəs
airfield	ˈeəfiːld
airlift	ˈeəlɪft
airless	ˈeələs
airstream	ˈeəstriːm
airstrip	ˈeəstrɪp
airtight	ˈeətaɪt
airline	ˈeəlaɪn
airwaves	ˈeəweɪvz
aiding	ˈeɪdɪŋ
airway	ˈeəweɪ
airworthy	ˈeəwɜːði
airworthiness	ˈeəwɜːðinəs
airtime	ˈeətaɪm
airport	ˈeəpɔːt
airy	ˈeəri
aisle	aɪl
airplay	ˈeəpleɪ
aitch	eɪtʃ
ajar	əˈdʒɑː(r)
airplane	ˈeəpleɪn
alabaster	ˈæləbɑːstə(r)
alack	əˈlæk
alacrity	əˈlækrəti
akin	əˈkɪn
akimbo	əˈkɪmbəʊ
airman	ˈeəmən
airwoman	ˈeəwʊmən
airmen	ˈeəmən
airwomen	ˈeəwɪmɪn
akinesia	ˌeɪkɪˈniːsiə
akinetic	ˌeɪkɪˈnetɪk
akinetic	ˌeɪkaɪˈnetɪk
alarm	əˈlɑːm
alarmed	əˈlɑːmd
alarmist	əˈlɑːmɪst
alas	əˈlæs
alarming	əˈlɑːmɪŋ
alarmingly	əˈlɑːmɪŋli
alb	ælb
albatross	ˈælbətrɒs
albeit	ˌɔːlˈbiːɪt
albino	ælˈbiːnəʊ
albumen	ˈælbjumɪn
albinism	ˈælbɪnɪzəm
album	ˈælbəm
alchemist	ˈælkəmɪst
alchemy	ˈælkəmi
alcoholic	ˌælkəˈhɒlɪk
alcohol	ˈælkəhɒl
alcoholism	ˈælkəhɒlɪzəm
alcopop	ˈælkəʊpɒp
alcove	ˈælkəʊv
alcheringa	ˌæltʃəˈrɪŋɡə
alder	ˈɔːldə(r)
alderman	ˈɔːldəmən
aldermen	ˈɔːldəmən
alert	əˈlɜːt
alertly	əˈlɜːtli
ale	eɪl
alexandrine	ˌælɪɡˈzɑːndrɪn
alexia	əˈleksiə
alfalfa	ælˈfælfə
algae	ˈældʒiː
alga	ˈælɡə
algal	ˈælɡəl
algicide	ˈældʒɪsaɪd
algorithm	ˈælɡərɪðəm
alias	ˈeɪliəs
alien	ˈeɪliən
alibi	ˈæləbaɪ
alienate	ˈeɪliəneɪt
alienation	ˌeɪliəˈneɪʃn
alienable	ˈeɪliənəbl
alight	əˈlaɪt
alike	əˈlaɪk
alignment	əˈlaɪnmənt
align	əˈlaɪn
aliquot	ˈælɪkwɒt
alimony	ˈælɪməni
alkali	ˈælkəlaɪ
alive	əˈlaɪv
alkaline	ˈælkəlaɪn
alkalinity	ˌælkəˈlɪnəti
alkane	ˈælkeɪn
all	ɔːl
alkene	ˈælkiːn
allay	əˈleɪ
alkaloid	ˈælkəlɔɪd
allege	əˈledʒ
alleged	əˈledʒd
allegation	ˌæləˈɡeɪʃn
allegiance	əˈliːdʒəns
allele	əˈliːl
alleluia	ˌælɪˈluːjə
allegro	əˈleɡrəʊ
allegory	ˈæləɡəri
allegorical	ˌæləˈɡɒrɪkl
allergen	ˈælədʒən
allergic	əˈlɜːdʒɪk
allergy	ˈælədʒi
alley	ˈæli
alleviate	əˈliːvieɪt
alleviation	əˌliːviˈeɪʃn
alliance	əˈlaɪəns
allied	ˈælaɪd
alligator	ˈælɪɡeɪtə(r)
alliteration	əˌlɪtəˈreɪʃn
alliterative	əˈlɪtrətɪv
allochthonous	əˈlɒkθənəs
allocate	ˈæləkeɪt
allocation	ˌæləˈkeɪʃn
allomorph	ˈæləmɔːf
allophone	ˈæləfəʊn
allotment	əˈlɒtmənt
allotrope	ˈælətrəʊp
allot	əˈlɒt
allotropy	əˈlɒtrəpi
allow	əˈlaʊ
allowable	əˈlaʊəbl
allowance	əˈlaʊəns
alloy	ˈælɔɪ
allure	əˈlʊə(r)
allude	əˈluːd
alluring	əˈlʊərɪŋ
alluringly	əˈlʊərɪŋli
allspice	ˈɔːlspaɪs
allusive	əˈluːsɪv
ally	ˈælaɪ
alluvial	əˈluːviəl
allusion	əˈluːʒn
alluvium	əˈluːviəm
almanac	ˈɔːlmənæk
almoner	ˈɑːmənə(r)
almost	ˈɔːlməʊst
almighty	ɔːlˈmaɪti
along	əˈlɒŋ
aloe	ˈæləʊ
alone	əˈləʊn
almond	ˈɑːmənd
aloft	əˈlɒft
alongside	əˌlɒŋˈsaɪd
alms	ɑːmz
aloha	əˈləʊhə
alpaca	ælˈpækə
alphabetize	ˈælfəbətaɪz
alpenhorn	ˈælpənhɔːn
alphorn	ˈælphɔːn
aloof	əˈluːf
aloofness	əˈluːfnəs
aloud	əˈlaʊd
alphabet	ˈælfəbet
alpine	ˈælpaɪn
alpha	ˈælfə
alpinist	ˈælpɪnɪst
alpinism	ˈælpɪnɪzəm
already	ɔːlˈredi
alright	ɔːlˈraɪt
alphanumeric	ˌælfənjuːˈmerɪk
alopecia	ˌæləˈpiːʃə
also	ˈɔːlsəʊ
alphabetical	ˌælfəˈbetɪkl
alphabetically	ˌælfəˈbetɪkli
alphabetic	ˌælfəˈbetɪk
altar	ˈɔːltə(r)
altarpiece	ˈɔːltəpiːs
alter	ˈɔːltə(r)
alterable	ˈɔːltərəbl
alteration	ˌɔːltəˈreɪʃn
alternate	ɔːlˈtɜːnət
alternately	ɔːlˈtɜːnətli
alternative	ɔːlˈtɜːnətɪv
altercation	ˌɔːltəˈkeɪʃn
alternator	ˈɔːltəneɪtə(r)
alternatively	ɔːlˈtɜːnətɪvli
alto	ˈæltəʊ
altimeter	ˈæltɪmiːtə(r)
altogether	ˌɔːltəˈɡeðə(r)
altitude	ˈæltɪtjuːd
altostratus	ˌæltəʊˈstrɑːtəs
altostrati	ˌæltəʊˈstrɑːtaɪ
altostrati	ˌæltəʊˈstreɪtaɪ
altostrati	ˌæltəʊˈstrɑːtiː
altostrati	ˌæltəʊˈstreɪtiː
altruism	ˈæltruɪzəm
altruistic	ˌæltruˈɪstɪk
although	ɔːlˈðəʊ
alum	ˈæləm
alumina	əˈluːmɪnə
aluminium	ˌæljəˈmɪniəm
alumna	əˈlʌmnə
alumnae	əˈlʌmniː
alumni	əˈlʌmnaɪ
am	ˌeɪ ˈem
alyssum	ˈælɪsəm
alveolar	ælˈviːələ(r)
alumnus	əˈlʌmnəs
alumni	əˈlʌmnaɪ
always	ˈɔːlweɪz
amah	ˈɑːmə
amalgam	əˈmælɡəm
amalgamate	əˈmælɡəmeɪt
amalgamation	əˌmælɡəˈmeɪʃn
