aardvark	ˈɑːdvɑːk
acculturation	əˌkʌltʃəˈreɪʃn
accumulation	əˌkjuːmjəˈleɪʃn
accumulations	əˌkjuːmjəˈleɪʃnz
accumulator	əˈkjuːmjəleɪtə
accumulators	əˈkjuːmjəleɪtəz
accuracies	ˈækjərəsiz
accuracy	ˈækjərəsi
accusation	ˌækjuˈzeɪʃn
accusations	ˌækjuˈzeɪʃnz
accusative	əˈkjuːzətɪv
accusatives	əˈkjuːzətɪvz
accuser	əˈkjuːzə
accusers	əˈkjuːzəz
ace	eɪs
Acer	ˈeɪsə
acerbities	əˈsɜːbətiz
acerbity	əˈsɜːbəti
acers	ˈeɪsəz
aces	ˈeɪsɪz
acetate	ˈæsɪteɪt
acetates	ˈæsɪteɪts
acetic acid	əˌsiːtɪk ˈæsɪd
acetone	ˈæsɪtəʊn
acetones	ˈæsɪtəʊnz
acetylene	əˈsetəliːn
ache	eɪk
aches	eɪks
achievement	əˈtʃiːvmənt
achievements	əˈtʃiːvmənts
achiever	əˈtʃiːvə
achievers	əˈtʃiːvəz
achkan	ˈʌʃkən
achkans	ˈʌʃkənz
acid	ˈæsɪd
acidity	əˈsɪdəti
acids	ˈæsɪdz
ack-ack	ˌæk ˈæk
ackee	ˈæki
ackees	ˈækiz
acknowledgement	əkˈnɒlɪdʒmənt
acknowledgements	əkˈnɒlɪdʒmənts
acme	ˈækmi
acmes	ˈækmiz
acne	ˈækni
acolyte	ˈækəlaɪt
acolytes	ˈækəlaɪts
aconite	ˈækənaɪt
aconites	ˈækənaɪts
acorn	ˈeɪkɔːn
acorns	ˈeɪkɔːnz
acoustician	ˌækuːˈstɪʃn
acousticians	ˌækuːˈstɪʃnz
acoustics	əˈkuːstɪks
acquaintance	əˈkweɪntəns
acquaintances	əˈkweɪntənsɪz
acquaintanceship	əˈkweɪntənsʃɪp
acquaintanceships	əˈkweɪntənsʃɪps
acquiescence	ˌækwiˈesns
acquiescences	ˌækwiˈesnsɪz
acquisition	ˌækwɪˈzɪʃn
acquisitions	ˌækwɪˈzɪʃnz
acquisitiveness	əˈkwɪzətɪvnəs
acquittal	əˈkwɪtl
acquittals	əˈkwɪtlz
acre	ˈeɪkə
acreage	ˈeɪkərɪdʒ
acres	ˈeɪkəz
acrimony	ˈækrɪməni
acrobat	ˈækrəbæt
acrobatics	ˌækrəˈbætɪks
acrobats	ˈækrəbæts
acronym	ˈækrənɪm
acronyms	ˈækrənɪmz
acropolis	əˈkrɒpəlɪs
acropolises	əˈkrɒpəlɪsɪz
acrostic	əˈkrɒstɪk
acrostics	əˈkrɒstɪks
acrylic	əˈkrɪlɪk
acrylics	əˈkrɪlɪks
act	ækt
acting	ˈæktɪŋ
actings	ˈæktɪŋz
actinium	ækˈtɪniəm
action	ˈækʃn
actioner	ˈækʃənə
actioners	ˈækʃənəz
actions	ˈækʃnz
activation	ˌæktɪˈveɪʃn
activations	ˌæktɪˈveɪʃnz
active	ˈæktɪv
activism	ˈæktɪvɪzəm
activist	ˈæktɪvɪst
activists	ˈæktɪvɪsts
activities	ækˈtɪvətiz
activity	ækˈtɪvəti
actor	ˈæktə
actors	ˈæktəz
actress	ˈæktrəs
actresses	ˈæktrəsɪz
acts	ækts
actualities	ˌæktʃuˈælətiz
actuality	ˌæktʃuˈæləti
actuaries	ˈæktʃuəriz
actuary	ˈæktʃuəri
acuity	əˈkjuːəti
acumen	əˈkjuːmən
acumens	əˈkjuːmənz
acupressure	ˈækjupreʃə
acupuncture	ˈækjupʌŋktʃə
acupuncturist	ˈækjupʌŋktʃərɪst
acupuncturists	ˈækjupʌŋktʃərɪsts
acuteness	əˈkjuːtnəs
acutenesses	əˈkjuːtnəsɪz
acyclovir	eɪˈsaɪkləvɪə
ad	æd
adage	ˈædɪdʒ
adages	ˈædɪdʒɪz
adagio	əˈdɑːdʒiəʊ
adagios	əˈdɑːdʒiəʊz
Adam	ˈædəm
Adams	ˈædəmz
adaptability	əˌdæptəˈbɪləti
adaptation	ˌædæpˈteɪʃn
adaptations	ˌædæpˈteɪʃnz
adaption	əˈdæpʃn
adaptions	əˈdæpʃnz
adaptor	əˈdæptə
adaptors	əˈdæptəz
addendum	əˈdendəm
adder	ˈædə
adders	ˈædəz
addict	ˈædɪkt
addiction	əˈdɪkʃn
addictions	əˈdɪkʃnz
addicts	ˈædɪkts
addition	əˈdɪʃn
additions	əˈdɪʃnz
additive	ˈædətɪv
additives	ˈædətɪvz
address	əˈdres
addressee	ˌædreˈsiː
addressees	ˌædreˈsiːz
addresses	əˈdresɪz
adductor	əˈdʌktə
adductors	əˈdʌktəz
Addy	ˈædi
adenoids	ˈædənɔɪdz
adept	ˈædept
adepts	ˈædepts
adequacies	ˈædɪkwəsiz
adequacy	ˈædɪkwəsi
adherence	ədˈhɪərəns
adherences	ədˈhɪərənsɪz
adherent	ədˈhɪərənt
adherents	ədˈhɪərənts
adhesion	ədˈhiːʒn
adhesions	ədˈhiːʒnz
adhesive	ədˈhiːsɪv
adhesives	ədˈhiːsɪvz
adjective	ˈædʒɪktɪv
adjectives	ˈædʒɪktɪvz
adjournment	əˈdʒɜːnmənt
adjournments	əˈdʒɜːnmənts
adjudication	əˌdʒuːdɪˈkeɪʃn
adjudications	əˌdʒuːdɪˈkeɪʃnz
adjudicator	əˈdʒuːdɪkeɪtə
adjudicators	əˈdʒuːdɪkeɪtəz
adjunct	ˈædʒʌŋkt
adjuncts	ˈædʒʌŋkts
adjustment	əˈdʒʌstmənt
adjustments	əˈdʒʌstmənts
adjutant	ˈædʒʊtənt
adjutants	ˈædʒʊtənts
admin	ˈædmɪn
administration	ədˌmɪnɪˈstreɪʃn
administrations	ədˌmɪnɪˈstreɪʃnz
administrator	ədˈmɪnɪstreɪtə
administrators	ədˈmɪnɪstreɪtəz
admins	ˈædmɪnz
admiral	ˈædmərəl
admirals	ˈædmərəlz
admiration	ˌædməˈreɪʃn
admirer	ədˈmaɪərə
admirers	ədˈmaɪərəz
admissibilities	ədˌmɪsəˈbɪlətiz
admissibility	ədˌmɪsəˈbɪləti
admission	ədˈmɪʃn
admissions	ədˈmɪʃnz
admittance	ədˈmɪtns
admittances	ədˈmɪtnsɪz
admixture	ədˈmɪkstʃə
admixtures	ədˈmɪkstʃəz
admonishment	ədˈmɒnɪʃmənt
admonishments	ədˈmɒnɪʃmənts
admonition	ˌædməˈnɪʃn
admonitions	ˌædməˈnɪʃnz
ado	əˈduː
adobe	əˈdəʊbi
adobes	əˈdəʊbiz
adolescence	ˌædəˈlesns
adolescences	ˌædəˈlesnsɪz
adolescent	ˌædəˈlesnt
adolescents	ˌædəˈlesnts
Adonis	əˈdəʊnɪs
adonises	əˈdəʊnɪsɪz
adopter	əˈdɒptə
adopters	əˈdɒptəz
adoption	əˈdɒpʃn
adoptions	əˈdɒpʃnz
adoration	ˌædəˈreɪʃn
adorations	ˌædəˈreɪʃnz
adornment	əˈdɔːnmənt
adornments	əˈdɔːnmənts
ados	əˈduːz
adrenaline	əˈdrenəlɪn
adroitness	əˈdrɔɪtnəs
ads	ædz
adulation	ˌædjuˈleɪʃn
adulations	ˌædjuˈleɪʃnz
adult	ˈædʌlt
adulteration	əˌdʌltəˈreɪʃn
adulterations	əˌdʌltəˈreɪʃnz
adulterer	əˈdʌltərə
adulterers	əˈdʌltərəz
adulteress	əˈdʌltərəs
adulteresses	əˈdʌltərəsɪz
adulteries	əˈdʌltəriz
adultery	əˈdʌltəri
adulthood	ˈædʌlthʊd
adults	ˈædʌlts
advance	ədˈvɑːns
advancement	ədˈvɑːnsmənt
advancements	ədˈvɑːnsmənts
advances	ədˈvɑːnsɪz
advantage	ədˈvɑːntɪdʒ
advantages	ədˈvɑːntɪdʒɪz
advent	ˈædvent
advents	ˈædvents
adventure	ədˈventʃə
adventurer	ədˈventʃərə
adventurers	ədˈventʃərəz
adventures	ədˈventʃəz
adventuress	ədˈventʃəres
adventuresses	ədˈventʃəresɪz
adventurism	ədˈventʃərɪzəm
adverb	ˈædvɜːb
adverbs	ˈædvɜːbz
adversaries	ˈædvəsəriz
adversary	ˈædvəsəri
adversities	ədˈvɜːsətiz
adversity	ədˈvɜːsəti
advert	ˈædvɜːt
advertisement	ədˈvɜːtɪsmənt
advertisements	ədˈvɜːtɪsmənts
advertiser	ˈædvətaɪzə
advertisers	ˈædvətaɪzəz
advertising	ˈædvətaɪzɪŋ
advertorial	ˌædvəˈtɔːriəl
adverts	ˈædvɜːts
advice	ədˈvaɪs
advices	ədˈvaɪsɪz
advisability	ədˌvaɪzəˈbɪləti
advisement	ədˈvaɪzmənt
advisements	ədˈvaɪzmənts
adviser	ədˈvaɪzə
advisers	ədˈvaɪzəz
advisory	ədˈvaɪzəri
advocaat	ˈædvəkɑː
advocaats	ˈædvəkɑːz
advocacies	ˈædvəkəsiz
advocacy	ˈædvəkəsi
advocate	ˈædvəkət
advocates	ˈædvəkəts
adze	ædz
adzes	ˈædzɪz
adzuki	ədˈzuːki
aegis	ˈiːdʒɪs
aegises	ˈiːdʒɪsɪz
aeon	ˈiːən
aeons	ˈiːənz
aeration	eəˈreɪʃn
aerations	eəˈreɪʃnz
aerial	ˈeəriəl
aerialist	ˈeəriəlɪst
aerialists	ˈeəriəlɪsts
aerials	ˈeəriəlz
aerobatics	ˌeərəˈbætɪks
aerobics	eəˈrəʊbɪks
aerodrome	ˈeərədrəʊm
aerodromes	ˈeərədrəʊmz
aerodynamics	ˌeərəʊdaɪˈnæmɪks
aerofoil	ˈeərəfɔɪl
aerofoils	ˈeərəfɔɪlz
aerogramme	ˈeərəɡræm
aerogrammes	ˈeərəɡræmz
aeronaut	ˈeərənɔːt
aeronautics	ˌeərəˈnɔːtɪks
aeronauts	ˈeərənɔːts
aeroplane	ˈeərəpleɪn
aeroplanes	ˈeərəpleɪnz
aerosol	ˈeərəsɒl
aerosols	ˈeərəsɒlz
aerospace	ˈeərəʊspeɪs
aerostat	ˈeərəstæt
aerostats	ˈeərəstæts
aesthete	ˈiːsθiːt
aesthetes	ˈiːsθiːts
aesthetic	iːsˈθetɪk
aestheticism	iːsˈθetɪsɪzəm
aesthetics	iːsˈθetɪks
aetiology	ˌiːtiˈɒlədʒi
afara	əˈfɑːrə
afaras	əˈfɑːrəz
affability	ˌæfəˈbɪləti
affair	əˈfeə
affaire	əˈfeə
affairs	əˈfeəz
affectation	ˌæfekˈteɪʃn
affectations	ˌæfekˈteɪʃnz
affection	əˈfekʃn
affections	əˈfekʃnz
affidavit	ˌæfəˈdeɪvɪt
affidavits	ˌæfəˈdeɪvɪts
affiliate	əˈfɪliət
affiliates	əˈfɪliəts
affiliation	əˌfɪliˈeɪʃn
affiliations	əˌfɪliˈeɪʃnz
affinities	əˈfɪnətiz
affinity	əˈfɪnəti
affirmation	ˌæfəˈmeɪʃn
affirmations	ˌæfəˈmeɪʃnz
affirmative	əˈfɜːmətɪv
affirmatives	əˈfɜːmətɪvz
affix	ˈæfɪks
affixes	ˈæfɪksɪz
affliction	əˈflɪkʃn
afflictions	əˈflɪkʃnz
affluence	ˈæfluəns
affordability	əˌfɔːdəˈbɪləti
afforestation	əˌfɒrɪˈsteɪʃn
affray	əˈfreɪ
affrays	əˈfreɪz
affricate	ˈæfrɪkət
affricates	ˈæfrɪkəts
affront	əˈfrʌnt
affronts	əˈfrʌnts
Afghan hound	ˌæfɡæn ˈhaʊnd
Afghan hounds	ˌæfɡæn ˈhaʊndz
Afghanistan	æfˈɡænɪstæn
aficionado	əˌfɪʃəˈnɑːdəʊ
aficionados	əˌfɪʃəˈnɑːdəʊz
Africa	ˈæfrɪkə
African	ˈæfrɪkən
Africans	ˈæfrɪkənz
Afrikaans	ˌæfrɪˈkɑːns
Afrikaner	ˌæfrɪˈkɑːnə
Afrikaners	ˌæfrɪˈkɑːnəz
afro	ˈæfrəʊ
afros	ˈæfrəʊz
afterbirth	ˈɑːftəbɜːθ
afterbirths	ˈɑːftəbɜːθz
afterburner	ˈɑːftəbɜːnə
afterburners	ˈɑːftəbɜːnəz
aftercare	ˈɑːftəkeə
afterglow	ˈɑːftəɡləʊ
afterglows	ˈɑːftəɡləʊz
aftermath	ˈɑːftəmæθ
aftermaths	ˈɑːftəmæθz
afternoon	ˌɑːftəˈnuːn
afternoons	ˌɑːftəˈnuːnz
afters	ˈɑːftəz
aftershave	ˈɑːftəʃeɪv
aftershaves	ˈɑːftəʃeɪvz
aftershock	ˈɑːftəʃɒk
aftershocks	ˈɑːftəʃɒks
aftertaste	ˈɑːftəteɪst
aftertastes	ˈɑːftəteɪsts
afterthought	ˈɑːftəθɔːt
afterthoughts	ˈɑːftəθɔːts
afterword	ˈɑːftəwɜːd
afterwords	ˈɑːftəwɜːdz
agar	ˈeɪɡɑː
agaric	ˈæɡərɪk
agarics	ˈæɡərɪks
agars	ˈeɪɡɑːz
agate	ˈæɡət
agates	ˈæɡəts
agave	əˈɡeɪvi
agaves	əˈɡeɪviz
age	eɪdʒ
ageing	ˈeɪdʒɪŋ
ageings	ˈeɪdʒɪŋz
ageism	ˈeɪdʒɪzəm
ageist	ˈeɪdʒɪst
ageists	ˈeɪdʒɪsts
agencies	ˈeɪdʒənsiz
agency	ˈeɪdʒənsi
agenda	əˈdʒendə
agendas	əˈdʒendəz
agent	ˈeɪdʒənt
agent provocateur	ˌæʒɒ̃ prəˌvɒkəˈtɜː
agents	ˈeɪdʒənts
agents provocateurs	ˌæʒɒ̃ prəˌvɒkəˈtɜː
ages	ˈeɪdʒɪz
agglomerate	əˈɡlɒmərət
agglomerates	əˈɡlɒmərəts
agglomeration	əˌɡlɒməˈreɪʃn
agglomerations	əˌɡlɒməˈreɪʃnz
aggrandizement	əˈɡrændɪzmənt
aggrandizements	əˈɡrændɪzmənts
aggravation	ˌæɡrəˈveɪʃn
aggravations	ˌæɡrəˈveɪʃnz
aggregate	ˈæɡrɪɡət
aggregates	ˈæɡrɪɡəts
aggregation	ˌæɡrɪˈɡeɪʃn
aggregations	ˌæɡrɪˈɡeɪʃnz
aggression	əˈɡreʃn
aggressions	əˈɡreʃnz
aggressiveness	əˈɡresɪvnəs
aggressor	əˈɡresə
aggressors	əˈɡresəz
aggro	ˈæɡrəʊ
aggros	ˈæɡrəʊz
agility	əˈdʒɪləti
agitation	ˌædʒɪˈteɪʃn
agitations	ˌædʒɪˈteɪʃnz
agitator	ˈædʒɪteɪtə
agitators	ˈædʒɪteɪtəz
agitprop	ˈædʒɪtprɒp
agnosia	æɡˈnəʊsiə
agnostic	æɡˈnɒstɪk
agnosticism	æɡˈnɒstɪsɪzəm
agnostics	æɡˈnɒstɪks
agonies	ˈæɡəniz
agony	ˈæɡəni
agora	ˈæɡɒrə
agoraphobia	ˌæɡərəˈfəʊbiə
agoraphobic	ˌæɡərəˈfəʊbɪk
agoraphobics	ˌæɡərəˈfəʊbɪks
agraphia	əˈɡræfiə
agreement	əˈɡriːmənt
agreements	əˈɡriːmənts
agribusiness	ˈæɡrɪbɪznəs
agriculturalist	ˌæɡrɪˈkʌltʃərəlɪst
agriculture	ˈæɡrɪkʌltʃə
agrochemical	ˌæɡrəʊˈkemɪkl
agrochemicals	ˌæɡrəʊˈkemɪklz
agroforestry	ˈæɡrəʊfɒrɪstri
agronomist	əˈɡrɒnəmɪst
agronomists	əˈɡrɒnəmɪsts
agronomy	əˈɡrɒnəmi
ague	ˈeɪɡjuː
agues	ˈeɪɡjuːz
ahimsa	əˈhɪmsɑː
aid	eɪd
aide	eɪd
aide-de-camp	ˌeɪd də ˈkɒ̃
aides	eɪdz
aiding	ˈeɪdɪŋ
aids	eɪdz
aikido	aɪˈkiːdəʊ
aileron	ˈeɪlərɒn
ailerons	ˈeɪlərɒnz
ailment	ˈeɪlmənt
ailments	ˈeɪlmənts
aim	eɪm
aimlessness	ˈeɪmləsnəs
aims	eɪmz
air	eə
airbrush	ˈeəbrʌʃ
airbrushes	ˈeəbrʌʃɪz
aircraft	ˈeəkrɑːft
aircraftman	ˈeəkrɑːftmən
aircraftwoman	ˈeəkrɑːftwʊmən
aircrew	ˈeəkruː
aircrews	ˈeəkruːz
airdrome	ˈeədrəʊm
airdromes	ˈeədrəʊmz
airer	ˈeərə
airers	ˈeərəz
airfare	ˈeəfeə
airfares	ˈeəfeəz
airfield	ˈeəfiːld
airfields	ˈeəfiːldz
airflow	ˈeəfləʊ
airflows	ˈeəfləʊz
airfoil	ˈeəfɔɪl
airfoils	ˈeəfɔɪlz
airfreight	ˈeəfreɪt
airhead	ˈeəhed
airheads	ˈeəhedz
airing	ˈeərɪŋ
airings	ˈeərɪŋz
airlift	ˈeəlɪft
airlifts	ˈeəlɪfts
airline	ˈeəlaɪn
airliner	ˈeəlaɪnə
airliners	ˈeəlaɪnəz
airlines	ˈeəlaɪnz
airman	ˈeəmən
airplane	ˈeəpleɪn
airplanes	ˈeəpleɪnz
airplay	ˈeəpleɪ
airport	ˈeəpɔːt
airports	ˈeəpɔːts
airs	eəz
airship	ˈeəʃɪp
airships	ˈeəʃɪps
airsickness	ˈeəsɪknəs
airspace	ˈeəspeɪs
airspaces	ˈeəspeɪsɪz
airspeed	ˈeəspiːd
airstream	ˈeəstriːm
airstrip	ˈeəstrɪp
airstrips	ˈeəstrɪps
airtime	ˈeətaɪm
airtimes	ˈeətaɪmz
airwaves	ˈeəweɪvz
airway	ˈeəweɪ
airways	ˈeəweɪz
airwoman	ˈeəwʊmən
airworthiness	ˈeəwɜːðinəs
aisle	aɪl
aisles	aɪlz
aitch	eɪtʃ
aitches	ˈeɪtʃɪz
akinesia	ˌeɪkɪˈniːsiə
akinesias	ˌeɪkɪˈniːsiəz
alabaster	ˈæləbɑːstə
alabasters	ˈæləbɑːstəz
alacrity	əˈlækrəti
alarm	əˈlɑːm
alarmist	əˈlɑːmɪst
alarmists	əˈlɑːmɪsts
alarms	əˈlɑːmz
alb	ælb
Albania	ælˈbeɪniə
albatross	ˈælbətrɒs
albatrosses	ˈælbətrɒsɪz
albinism	ˈælbɪnɪzəm
albino	ælˈbiːnəʊ
albinos	ælˈbiːnəʊz
Albion	ˈælbiən
albs	ælbz
album	ˈælbəm
albumen	ˈælbjumɪn
albums	ˈælbəmz
Alcatraz	ˈælkətræz
alchemist	ˈælkəmɪst
alchemists	ˈælkəmɪsts
alchemy	ˈælkəmi
alcheringa	ˌæltʃəˈrɪŋɡə
alcohol	ˈælkəhɒl
alcoholic	ˌælkəˈhɒlɪk
alcoholics	ˌælkəˈhɒlɪks
alcoholism	ˈælkəhɒlɪzəm
alcohols	ˈælkəhɒlz
alcopop	ˈælkəʊpɒp
alcopops	ˈælkəʊpɒps
alcove	ˈælkəʊv
alcoves	ˈælkəʊvz
alder	ˈɔːldə
alderman	ˈɔːldəmən
aldermen	ˈɔːldəmən
alders	ˈɔːldəz
alderwoman	ˈɔːldəwʊmən
alderwomen	ˈɔːldəwɪmɪn
ale	eɪl
alert	əˈlɜːt
alertness	əˈlɜːtnəs
alerts	əˈlɜːts
ales	eɪlz
Alexander technique	ˌælɪɡˈzɑːndə tekniːk
alexandrine	ˌælɪɡˈzɑːndrɪn
alexandrines	ˌælɪɡˈzɑːndrɪnz
alexia	əˈleksiə
alfalfa	ælˈfælfə
alfalfas	ælˈfælfəz
algae	ˈælɡiː
algebra	ˈældʒɪbrə
algebras	ˈældʒɪbrəz
Algeria	ælˈdʒɪəriə
algicide	ˈælɡɪsaɪd
algicides	ˈælɡɪsaɪdz
Algol	ˈælɡɒl
Algonquian	ælˈɡɒŋkwiən
Algonquians	ælˈɡɒŋkwiənz
algorithm	ˈælɡərɪðəm
algorithms	ˈælɡərɪðəmz
alias	ˈeɪliəs
aliases	ˈeɪliəsɪz
alibi	ˈæləbaɪ
alibis	ˈæləbaɪz
Alice band	ˈælɪs bænd
Alice bands	ˈælɪs bændz
alien	ˈeɪliən
alienation	ˌeɪliəˈneɪʃn
aliens	ˈeɪliənz
alignment	əˈlaɪnmənt
alignments	əˈlaɪnmənts
alimentary canal	ˌælɪmentəri kəˈnæl
alimonies	ˈælɪməniz
alimony	ˈælɪməni
aliquot	ˈælɪkwɒt
alkali	ˈælkəlaɪ
alkalinities	ˌælkəˈlɪnətiz
alkalinity	ˌælkəˈlɪnəti
alkalis	ˈælkəlaɪz
alkaloid	ˈælkəlɔɪd
alkaloids	ˈælkəlɔɪdz
alkane	ˈælkeɪn
alkanes	ˈælkeɪnz
alkene	ˈælkiːn
