aide-de-camp	ˌeɪd də ˈkɒ̃
tae kwon do	ˌtaɪ ˌkwɒn ˈdəʊ
the Big Apple	ðə ˌbɪɡ ˈæpl
the Old Bailey	ˌəʊld ˈbeɪli
the Slough of Despond	ˌslaʊ əv dɪˈspɒnd
three-legged race	ˌθriː ˈleɡɪd reɪs
tour de force	ˌtʊə də ˈfɔːs
tree surgeon	ˈɑːbərɪst
tree surgeons	ˈɑːbərɪsts
tu-whit tu-whoo	təˌwɪt təˈwuː
tu-whit tu-whoos	təˌwɪt təˈwuːz
Tweedledum and Tweedledee	ˌtwiːdlˌdʌm ən twiːdlˈdiː
vol-au-vent	ˈvɒl ə vɒ̃
white blood cell	ˌwaɪt ˈblʌd sel
white blood cells	ˌwaɪt ˈblʌd selz
OK'd	əʊˈkeɪd
pre-empt	priˈempt
pre-empted	priˈemptɪd
pre-empting	priˈemptɪŋ
pre-empts	priˈempts
à la carte	ˌɑː lɑː ˈkɑːt
A-OK	ˌeɪ əʊ ˈkeɪ
Brahms and Liszt	ˌbrɑːmz ən(d) ˈlɪst
chock-a-block	ˌtʃɒk ə ˈblɒk
David and Goliath	ˌdeɪvɪd ənd ɡəˈlaɪəθ
fin de siècle	ˌfæÌƒ də ˈsjekl
holier-than-thou	ˌhəʊliə ðən ˈðaʊ
hors de combat	ˌɔː də ˈkɒ̃bɑː
la-di-da	ˌlɑː di ˈdɑː
pre-emptive	priˈemptɪv
A-OK	ˌeɪ əʊ ˈkeɪ
faute de mieux	ˌfəʊt də ˈmjɜː
in loco parentis	ɪn ˌləʊkəʊ pəˈrentɪs
in medias res	ɪn ˌmiːdiæs ˈreɪz
magna cum laude	ˌmæɡnə kʊm ˈlaʊdeɪ
summa cum laude	ˌsʊmə ˌkʊm ˈlaʊdeɪ
la-di-da	ˌlɑː di ˈdɑː
vis-à-vis	ˌviːz ɑː ˈviː
Bow Street runner	ˌbəʊ striːt ˈrʌnər
bricks and mortar	ˌbrɪks n ˈmɔːtər
chemin de fer	ʃəˌmæÌƒ də ˈfeər
four-by-four	ˌfɔː baɪ ˈfɔːr
nom de guerre	ˌnɒm də ˈɡeər
pied-à-terre	ˌpjeɪd ɑː ˈteər
son et lumière	ˌsɒn eɪ ˈluːmjeər
