abase	əˈbeɪs
abrupt	əˈbrʌpt
abruptly	əˈbrʌptli
absently	ˈæbsəntli
abs	æbz
absenteeism	ˌæbsənˈtiːɪzəm
abroad	əˈbrɔːd
abridge	əˈbrɪdʒ
abridged	əˈbrɪdʒd
absolutely	ˈæbsəluːtli
absolute	ˈæbsəluːt
absorbing	əbˈsɔːbɪŋ
absorbent	əbˈsɔːbənt
absorbency	əbˈsɔːbənsi
absorbency	əbˈzɔːbənsi
absorbable	əbˈsɔːbəbl
absorbed	əbˈsɔːbd
absorption	əbˈsɔːpʃn
abstain	əbˈsteɪn
abstinent	ˈæbstɪnənt
abstracted	æbˈstræktɪd
abstractedly	æbˈstræktɪdli
abstruse	əbˈstruːs
abstention	əbˈstenʃn
absurd	əbˈsɜːd
absurdity	əbˈsɜːdəti
absurdism	əbˈsɜːdɪzəm
absurdist	əbˈsɜːdɪst
abstemious	əbˈstiːmiəs
abstinence	ˈæbstɪnəns
abstainer	əbˈsteɪnə(r)
absence	ˈæbsəns
abstractionism	æbˈstrækʃnɪzəm
abstractionist	æbˈstrækʃnɪst
abuse	əˈbjuːs
abundance	əˈbʌndəns
abundantly	əˈbʌndəntli
abundant	əˈbʌndənt
abusive	əˈbjuːsɪv
abusively	əˈbjuːsɪvli
abyss	əˈbɪs
academic	ˌækəˈdemɪk
academically	ˌækəˈdemɪkli
abysmal	əˈbɪzməl
abysmally	əˈbɪzməli
academicism	ˌækəˈdemɪsɪzəm
academy	əˈkædəmi
academia	ˌækəˈdiːmiə
acacia	əˈkeɪʃə
abyssal	əˈbɪsl
acanthus	əˈkænθəs
academician	əˌkædəˈmɪʃn
accelerando	əkˌseləˈrændəʊ
accede	əkˈsiːd
accelerator	əkˈseləreɪtə(r)
accented	ˈæksentɪd
accept	əkˈsept
accent	ˈæksent
accelerate	əkˈseləreɪt
acceptance	əkˈseptəns
acceptation	ˌæksepˈteɪʃn
access	ˈækses
accession	ækˈseʃn
accidence	ˈæksɪdəns
acclaim	əˈkleɪm
accidental	ˌæksɪˈdentl
accidentally	ˌæksɪˈdentəli
acclimate	ˈækləmeɪt
acclimation	ˌækləˈmeɪʃn
acclimatize	əˈklaɪmətaɪz
acclimatization	əˌklaɪmətaɪˈzeɪʃn
accommodation	əˌkɒməˈdeɪʃn
accolade	ˈækəleɪd
accessorize	əkˈsesəraɪz
accentuate	əkˈsentʃueɪt
accentuation	əkˌsentʃuˈeɪʃn
accommodate	əˈkɒmədeɪt
accessory	əkˈsesəri
accident	ˈæksɪdənt
accessible	əkˈsesəbl
accessibility	əkˌsesəˈbɪləti
accommodating	əˈkɒmədeɪtɪŋ
acclamation	ˌækləˈmeɪʃn
accompany	əˈkʌmpəni
accord	əˈkɔːd
accompanist	əˈkʌmpənɪst
accomplice	əˈkʌmplɪs
accordance	əˈkɔːdns
accompaniment	əˈkʌmpənimənt
accordion	əˈkɔːdiən
account	əˈkaʊnt
accordingly	əˈkɔːdɪŋli
accounting	əˈkaʊntɪŋ
accreditation	əˌkredɪˈteɪʃn
accretion	əˈkriːʃn
accredited	əˈkredɪtɪd
accrue	əˈkruː
accrual	əˈkruːəl
accountable	əˈkaʊntəbl
accountability	əˌkaʊntəˈbɪləti
accountancy	əˈkaʊntənsi
accoutre	əˈkuːtə(r)
accredit	əˈkredɪt
accost	əˈkɒst
accoutrements	əˈkuːtrəmənts
acculturate	əˈkʌltʃəreɪt
acculturation	əˌkʌltʃəˈreɪʃn
accountant	əˈkaʊntənt
accumulative	əˈkjuːmjələtɪv
accumulate	əˈkjuːmjəleɪt
accumulation	əˌkjuːmjəˈleɪʃn
accumulator	əˈkjuːmjəleɪtə(r)
accurate	ˈækjərət
accurately	ˈækjərətli
accuracy	ˈækjərəsi
accuse	əˈkjuːz
accuser	əˈkjuːzə(r)
accursed	əˈkɜːsɪd
accusative	əˈkjuːzətɪv
accusing	əˈkjuːzɪŋ
accusingly	əˈkjuːzɪŋli
accusation	ˌækjuˈzeɪʃn
accused	əˈkjuːzd
acceptable	əkˈseptəbl
acceptability	əkˌseptəˈbɪləti
acellular	ˌeɪˈseljələ(r)
ace	eɪs
accusatory	əˈkjuːzətəri
acetate	ˈæsɪteɪt
acerbic	əˈsɜːbɪk
acerbity	əˈsɜːbəti
acetaminophen	əˌsiːtəˈmɪnəfen
acetone	ˈæsɪtəʊn
ache	eɪk
acetylene	əˈsetəliːn
achievement	əˈtʃiːvmənt
achiever	əˈtʃiːvə(r)
achingly	ˈeɪkɪŋli
acid	ˈæsɪd
achy	ˈeɪki
acidic	əˈsɪdɪk
acidify	əˈsɪdɪfaɪ
acidly	ˈæsɪdli
acidity	əˈsɪdəti
acknowledgement	əkˈnɒlɪdʒmənt
ackee	ˈæki
acidulous	əˈsɪdjələs
acknowledge	əkˈnɒlɪdʒ
acne	ˈækni
acme	ˈækmi
acolyte	ˈækəlaɪt
aconite	ˈækənaɪt
acoustician	ˌækuːˈstɪʃn
acquainted	əˈkweɪntɪd
acquaintanceship	əˈkweɪntənsʃɪp
acquire	əˈkwaɪə(r)
acquiescence	ˌækwiˈesns
acquiescent	ˌækwiˈesnt
acquiesce	ˌækwiˈes
acorn	ˈeɪkɔːn
acquaintance	əˈkweɪntəns
acquaint	əˈkweɪnt
acoustic	əˈkuːstɪk
acoustically	əˈkuːstɪkli
acoustics	əˈkuːstɪks
acquisition	ˌækwɪˈzɪʃn
acquisitive	əˈkwɪzətɪv
acquisitiveness	əˈkwɪzətɪvnəs
acquit	əˈkwɪt
acquittal	əˈkwɪtl
acrid	ˈækrɪd
acre	ˈeɪkə(r)
acreage	ˈeɪkərɪdʒ
acrobat	ˈækrəbæt
acrimony	ˈækrɪməni
acrimonious	ˌækrɪˈməʊniəs
acrimoniously	ˌækrɪˈməʊniəsli
acrobatics	ˌækrəˈbætɪks
acrobatic	ˌækrəˈbætɪk
acrobatically	ˌækrəˈbætɪkli
across	əˈkrɒs
acronym	ˈækrənɪm
acrylamide	əˈkrɪləmaɪd
acrostic	əˈkrɒstɪk
acrylic	əˈkrɪlɪk
acting	ˈæktɪŋ
act	ækt
acropolis	əˈkrɒpəlɪs
acrolect	ˈækrəlekt
actinium	ækˈtɪniəm
action	ˈækʃn
actionable	ˈækʃənəbl
activate	ˈæktɪveɪt
activation	ˌæktɪˈveɪʃn
active	ˈæktɪv
actively	ˈæktɪvli
activist	ˈæktɪvɪst
activism	ˈæktɪvɪzəm
actor	ˈæktə(r)
activity	ækˈtɪvəti
actress	ˈæktrəs
actual	ˈæktʃuəl
actuality	ˌæktʃuˈæləti
actualize	ˈæktʃuəlaɪz
actuate	ˈæktʃueɪt
acupressure	ˈækjupreʃə(r)
acupuncture	ˈækjupʌŋktʃə(r)
actuary	ˈæktʃuəri
actuarial	ˌæktʃuˈeəriəl
acuity	əˈkjuːəti
actually	ˈæktʃuəli
acupuncturist	ˈækjupʌŋktʃərɪst
acutely	əˈkjuːtli
acyclic	ˌeɪˈsaɪklɪk
acumen	ˈækjəmən
ad	ˌeɪ ˈdiː
acyclovir	eɪˈsaɪkləvɪə(r)
acute	əˈkjuːt
acuteness	əˈkjuːtnəs
adamant	ˈædəmənt
adamantly	ˈædəməntli
adagio	əˈdɑːdʒiəʊ
adamantine	ˌædəˈmæntaɪn
adapt	əˈdæpt
add	æd
adaptive	əˈdæptɪv
adage	ˈædɪdʒ
adaptation	ˌædæpˈteɪʃn
adaptable	əˈdæptəbl
adaptability	əˌdæptəˈbɪləti
addiction	əˈdɪkʃn
adaptor	əˈdæptə(r)
addictive	əˈdɪktɪv
adder	ˈædə(r)
addict	ˈædɪkt
addicted	əˈdɪktɪd
addled	ˈædld
additional	əˈdɪʃənl
additionally	əˈdɪʃənəli
addendum	əˈdendəm
addenda	əˈdendə
addressee	ˌædreˈsiː
additive	ˈædətɪv
addressable	əˈdresəbl
addle	ˈædl
addition	əˈdɪʃn
adduce	əˈdjuːs
address	əˈdres
adductor	əˈdʌktə(r)
adenoids	ˈædənɔɪdz
adenoidal	ˌædəˈnɔɪdl
adept	əˈdept
adept	ˈædept
adherent	ədˈhɪərənt
adhere	ədˈhɪə(r)
adhesive	ədˈhiːsɪv
adequate	ˈædɪkwət
adequacy	ˈædɪkwəsi
adhesion	ədˈhiːʒn
adieu	əˈdjuː
adjective	ˈædʒɪktɪv
adjectival	ˌædʒekˈtaɪvl
adjacent	əˈdʒeɪsnt
adjoin	əˈdʒɔɪn
adjoining	əˈdʒɔɪnɪŋ
adipose	ˈædɪpəʊs
adjourn	əˈdʒɜːn
adjournment	əˈdʒɜːnmənt
adjudicate	əˈdʒuːdɪkeɪt
adjudication	əˌdʒuːdɪˈkeɪʃn
adjudge	əˈdʒʌdʒ
adjunct	ˈædʒʌŋkt
adjustment	əˈdʒʌstmənt
adjutant	ˈædʒʊtənt
administration	ədˌmɪnɪˈstreɪʃn
administrative	ədˈmɪnɪstrətɪv
administratively	ədˈmɪnɪstrətɪvli
adjure	əˈdʒʊə(r)
adjust	əˈdʒʌst
adjustable	əˈdʒʌstəbl
administrator	ədˈmɪnɪstreɪtə(r)
admiralty	ˈædmərəlti
admirable	ˈædmərəbl
admirably	ˈædmərəbli
admission	ədˈmɪʃn
admirer	ədˈmaɪərə(r)
admittedly	ədˈmɪtɪdli
admire	ədˈmaɪə(r)
admiring	ədˈmaɪərɪŋ
admittance	ədˈmɪtns
admissible	ədˈmɪsəbl
admissibility	ədˌmɪsəˈbɪləti
admit	ədˈmɪt
admiral	ˈædmərəl
admixture	ədˈmɪkstʃə(r)
administer	ədˈmɪnɪstə(r)
adman	ˈædmæn
admen	ˈædmen
admiration	ˌædməˈreɪʃn
admonition	ˌædməˈnɪʃn
admonitory	ədˈmɒnɪtri
ado	əˈduː
admonish	ədˈmɒnɪʃ
adonis	əˈdəʊnɪs
adobe	əˈdəʊbi
adopt	əˈdɒpt
adolescence	ˌædəˈlesns
adolescent	ˌædəˈlesnt
adopted	əˈdɒptɪd
adopter	əˈdɒptə(r)
adore	əˈdɔː(r)
adoring	əˈdɔːrɪŋ
adoringly	əˈdɔːrɪŋli
adorn	əˈdɔːn
adornment	əˈdɔːnmənt
adorable	əˈdɔːrəbl
adorably	əˈdɔːrəbli
adoptive	əˈdɒptɪv
adoration	ˌædəˈreɪʃn
adrenaline	əˈdrenəlɪn
adrift	əˈdrɪft
adroit	əˈdrɔɪt
adroitly	əˈdrɔɪtli
adulation	ˌædjuˈleɪʃn
adulatory	ˌædjuˈleɪtəri
adsorb	ədˈsɔːb
adsorbent	ədˈzɔːbənt
adult	ˈædʌlt
adulterate	əˈdʌltəreɪt
adulteration	əˌdʌltəˈreɪʃn
adoption	əˈdɒpʃn
adulterer	əˈdʌltərə(r)
adulteress	əˈdʌltərəs
adultery	əˈdʌltəri
adulterous	əˈdʌltərəs
adulthood	ˈædʌlthʊd
adumbrate	ˈædəmbreɪt
adventure	ədˈventʃə(r)
advantageous	ˌædvənˈteɪdʒəs
advantageously	ˌædvənˈteɪdʒəsli
adventitious	ˌædvenˈtɪʃəs
advance	ədˈvɑːns
adventurism	ədˈventʃərɪzəm
advanced	ədˈvɑːnst
advancement	ədˈvɑːnsmənt
adverse	ˈædvɜːs
adversely	ˈædvɜːsli
adversely	ədˈvɜːsli
advantaged	ədˈvɑːntɪdʒd
adversative	ədˈvɜːsətɪv
adversary	ˈædvəsəri
advert	ˈædvɜːt
adventurous	ədˈventʃərəs
adventurously	ədˈventʃərəsli
advantage	ədˈvɑːntɪdʒ
adventurer	ədˈventʃərə(r)
adversarial	ˌædvəˈseəriəl
advancing	ədˈvɑːnsɪŋ
adventuress	ədˈventʃəres
advent	ˈædvent
adverb	ˈædvɜːb
adverbial	ædˈvɜːbiəl
adventuresome	ədˈventʃəsəm
advertisement	ədˈvɜːtɪsmənt
adversity	ədˈvɜːsəti
advertise	ˈædvətaɪz
advertorial	ˌædvəˈtɔːriəl
advisable	ədˈvaɪzəbl
advisability	ədˌvaɪzəˈbɪləti
advertising	ˈædvətaɪzɪŋ
advisedly	ədˈvaɪzədli
advise	ədˈvaɪz
advertiser	ˈædvətaɪzə(r)
adviser	ədˈvaɪzə(r)
advocacy	ˈædvəkəsi
advocate	ˈædvəkeɪt
advisory	ədˈvaɪzəri
advisement	ədˈvaɪzmənt
adze	ædz
adzuki	ədˈzuːki
aeolian	iːˈəʊliən
aeon	ˈiːən
aerate	ˈeəreɪt
aeration	eəˈreɪʃn
aerial	ˈeəriəl
aegis	ˈiːdʒɪs
aerialist	ˈeəriəlɪst
aerogramme	ˈeərəɡræm
aerofoil	ˈeərəfɔɪl
aeronautics	ˌeərəˈnɔːtɪks
aeronautical	ˌeərəˈnɔːtɪkl
advice	ədˈvaɪs
aerobic	eəˈrəʊbɪk
aeroplane	ˈeərəpleɪn
aerodynamics	ˌeərəʊdaɪˈnæmɪks
aerodynamic	ˌeərəʊdaɪˈnæmɪk
aero	ˈeərəʊ
aerobatics	ˌeərəˈbætɪks
aerobatic	ˌeərəˈbætɪk
aerosol	ˈeərəsɒl
aerobics	eəˈrəʊbɪks
aerodrome	ˈeərədrəʊm
aeronaut	ˈeərənɔːt
aerospace	ˈeərəʊspeɪs
aerostat	ˈeərəstæt
aesthetic	iːsˈθetɪk
aesthetically	iːsˈθetɪkli
aesthete	ˈiːsθiːt
aetiology	ˌiːtiˈɒlədʒi
affable	ˈæfəbl
affability	ˌæfəˈbɪləti
affaire	əˈfeə(r)
afar	əˈfɑː(r)
affair	əˈfeə(r)
affect	əˈfekt
affectation	ˌæfekˈteɪʃn
affectionate	əˈfekʃənət
affectionately	əˈfekʃənətli
affecting	əˈfektɪŋ
affective	əˈfektɪv
affectively	əˈfektɪvli
affection	əˈfekʃn
affected	əˈfektɪd
affectedly	əˈfektɪdli
affidavit	ˌæfəˈdeɪvɪt
affiliated	əˈfɪlieɪtɪd
affinity	əˈfɪnəti
affirm	əˈfɜːm
affirmation	ˌæfəˈmeɪʃn
affiliation	əˌfɪliˈeɪʃn
affirmative	əˈfɜːmətɪv
affirmatively	əˈfɜːmətɪvli
affiliate	əˈfɪlieɪt
afflict	əˈflɪkt
affliction	əˈflɪkʃn
affluent	ˈæfluənt
affluence	ˈæfluəns
afford	əˈfɔːd
affordability	əˌfɔːdəˈbɪləti
afforestation	əˌfɒrɪˈsteɪʃn
afforest	əˈfɒrɪst
afield	əˈfiːld
aficionado	əˌfɪʃəˈnɑːdəʊ
afoul	əˈfaʊl
aforethought	əˈfɔːθɔːt
aforementioned	əˌfɔːˈmenʃənd
affray	əˈfreɪ
afterglow	ˈɑːftəɡləʊ
afresh	əˈfreʃ
aft	ɑːft
affricate	ˈæfrɪkət
affront	əˈfrʌnt
affix	əˈfɪks
afghan	ˈæfɡæn
afloat	əˈfləʊt
aftermath	ˈɑːftəmæθ
afterburner	ˈɑːftəbɜːnə(r)
afterlife	ˈɑːftəlaɪf
aftershock	ˈɑːftəʃɒk
afternoons	ˌɑːftəˈnuːnz
aflame	əˈfleɪm
aftertaste	ˈɑːftəteɪst
aftermost	ˈɑːftəməʊst
afoot	əˈfʊt
afterthought	ˈɑːftəθɔːt
aftercare	ˈɑːftəkeə(r)
afters	ˈɑːftəz
afterbirth	ˈɑːftəbɜːθ
after	ˈɑːftə(r)
afternoon	ˌɑːftəˈnuːn
afraid	əˈfreɪd
aftershave	ˈɑːftəʃeɪv
afterwards	ˈɑːftəwədz
afterword	ˈɑːftəwɜːd
aga	ˈɑːɡə
ag	æx
agape	əˈɡeɪp
agar	ˈeɪɡɑː(r)
ageing	ˈeɪdʒɪŋ
ageism	ˈeɪdʒɪzəm
ageist	ˈeɪdʒɪst
agent	ˈeɪdʒənt
agglomerate	əˈɡlɒməreɪt
agaric	ˈæɡərɪk
agate	ˈæɡət
agency	ˈeɪdʒənsi
agave	əˈɡeɪvi
aged	eɪdʒd
ageless	ˈeɪdʒləs
agenda	əˈdʒendə
agglomeration	əˌɡlɒməˈreɪʃn
agglutinative	əˈɡluːtɪnətɪv
aggrandizement	əˈɡrændɪzmənt
aggravated	ˈæɡrəveɪtɪd
aggression	əˈɡreʃn
aggregate	ˈæɡrɪɡət
aggravate	ˈæɡrəveɪt
aggravating	ˈæɡrəveɪtɪŋ
aggressive	əˈɡresɪv
aggressively	əˈɡresɪvli
aggrieved	əˈɡriːvd
aggro	ˈæɡrəʊ
agile	ˈædʒaɪl
agility	əˈdʒɪləti
aggressor	əˈɡresə(r)
aghast	əˈɡɑːst
agitato	ˌædʒɪˈtɑːtəʊ
agitation	ˌædʒɪˈteɪʃn
agitated	ˈædʒɪteɪtɪd
agitate	ˈædʒɪteɪt
agleam	əˈɡliːm
agitprop	ˈædʒɪtprɒp
agitator	ˈædʒɪteɪtə(r)
aglow	əˈɡləʊ
ago	əˈɡəʊ
agnosia	æɡˈnəʊsiə
agog	əˈɡɒɡ
agonize	ˈæɡənaɪz
agnostic	æɡˈnɒstɪk
agonizing	ˈæɡənaɪzɪŋ
agonizingly	ˈæɡənaɪzɪŋli
agora	ˈæɡɒrə
agorae	ˈæɡɒriː
agraphia	əˈɡræfiə
agoraphobic	ˌæɡərəˈfəʊbɪk
agreeably	əˈɡriːəbli
agreeable	əˈɡriːəbl
agrarian	əˈɡreəriən
agoraphobia	ˌæɡərəˈfəʊbiə
agree	əˈɡriː
agriculture	ˈæɡrɪkʌltʃə(r)
agricultural	ˌæɡrɪˈkʌltʃərəl
agrochemical	ˌæɡrəʊˈkemɪkl
agreement	əˈɡriːmənt
agribusiness	ˈæɡrɪbɪznəs
age	eɪdʒ
agroforestry	ˈæɡrəʊfɒrɪstri
agriculturalist	ˌæɡrɪˈkʌltʃərəlɪst
aground	əˈɡraʊnd
agronomist	əˈɡrɒnəmɪst
agronomy	əˈɡrɒnəmi
ague	ˈeɪɡjuː
ah	ˌeɪ ˈeɪtʃ
ahem	əˈhem
aha	ɑːˈhɑː
ahead	əˈhed
aid	eɪd
ahistorical	ˌeɪhɪˈstɒrɪkl
ai	ˌeɪ ˈaɪ
aide	eɪd
ahchoo	ɑːˈtʃuː
ahoy	əˈhɔɪ
aiding	ˈeɪdɪŋ
aids	eɪdz
aikido	aɪˈkiːdəʊ
ailing	ˈeɪlɪŋ
ail	eɪl
aileron	ˈeɪlərɒn
ailment	ˈeɪlmənt
aim	eɪm
aimless	ˈeɪmləs
aimlessly	ˈeɪmləsli
airbrush	ˈeəbrʌʃ
airborne	ˈeəbɔːn
air	eə(r)
airbus	ˈeəbʌs
aircrew	ˈeəkruː
aircraft	ˈeəkrɑːft
airdrome	ˈeədrəʊm
against	əˈɡenst
airdrop	ˈeədrɒp
airer	ˈeərə(r)
airfoil	ˈeəfɔɪl
airlift	ˈeəlɪft
airing	ˈeərɪŋ
airline	ˈeəlaɪn
airfare	ˈeəfeə(r)
airflow	ˈeəfləʊ
airfield	ˈeəfiːld
airfreight	ˈeəfreɪt
airhead	ˈeəhed
airless	ˈeələs
airman	ˈeəmən
airwoman	ˈeəwʊmən
airmen	ˈeəmən
airwomen	ˈeəwɪmɪn
airliner	ˈeəlaɪnə(r)
airmail	ˈeəmeɪl
airily	ˈeərəli
aioli	aɪˈəʊli
airplane	ˈeəpleɪn
airport	ˈeəpɔːt
airsick	ˈeəsɪk
airsickness	ˈeəsɪknəs
airstream	ˈeəstriːm
airstrip	ˈeəstrɪp
airship	ˈeəʃɪp
airspeed	ˈeəspiːd
airtight	ˈeətaɪt
airspace	ˈeəspeɪs
airway	ˈeəweɪ
airwaves	ˈeəweɪvz
airworthy	ˈeəwɜːði
airworthiness	ˈeəwɜːðinəs
aisle	aɪl
ajar	əˈdʒɑː(r)
airy	ˈeəri
airtime	ˈeətaɪm
akin	əˈkɪn
alabaster	ˈæləbɑːstə(r)
akimbo	əˈkɪmbəʊ
alacrity	əˈlækrəti
alack	əˈlæk
alarming	əˈlɑːmɪŋ
alarmingly	əˈlɑːmɪŋli
alas	əˈlæs
alarmed	əˈlɑːmd
alb	ælb
albatross	ˈælbətrɒs
albeit	ˌɔːlˈbiːɪt
aitch	eɪtʃ
alarmist	əˈlɑːmɪst
alarm	əˈlɑːm
albinism	ˈælbɪnɪzəm
albino	ælˈbiːnəʊ
albumen	ˈælbjumɪn
album	ˈælbəm
alcoholic	ˌælkəˈhɒlɪk
alchemy	ˈælkəmi
alcohol	ˈælkəhɒl
alchemist	ˈælkəmɪst
alcove	ˈælkəʊv
alder	ˈɔːldə(r)
alcoholism	ˈælkəhɒlɪzəm
alert	əˈlɜːt
alertly	əˈlɜːtli
ale	eɪl
alderman	ˈɔːldəmən
aldermen	ˈɔːldəmən
alexandrine	ˌælɪɡˈzɑːndrɪn
alexia	əˈleksiə
alehouse	ˈeɪlhaʊs
alfalfa	ælˈfælfə
algae	ˈældʒiː
alga	ˈælɡə
algal	ˈælɡəl
algicide	ˈældʒɪsaɪd
algebra	ˈældʒɪbrə
algebraic	ˌældʒɪˈbreɪɪk
algorithm	ˈælɡərɪðəm
alias	ˈeɪliəs
alien	ˈeɪliən
alienate	ˈeɪliəneɪt
alienation	ˌeɪliəˈneɪʃn
alienable	ˈeɪliənəbl
alibi	ˈæləbaɪ
alike	əˈlaɪk
alight	əˈlaɪt
align	əˈlaɪn
aliquot	ˈælɪkwɒt
alignment	əˈlaɪnmənt
alimony	ˈælɪməni
alive	əˈlaɪv
alkali	ˈælkəlaɪ
alkaline	ˈælkəlaɪn
alkalinity	ˌælkəˈlɪnəti
alkaloid	ˈælkəlɔɪd
alkane	ˈælkeɪn
alkene	ˈælkiːn
all	ɔːl
allay	əˈleɪ
allegation	ˌæləˈɡeɪʃn
allegiance	əˈliːdʒəns
allege	əˈledʒ
alleged	əˈledʒd
allegory	ˈæləɡəri
allegorical	ˌæləˈɡɒrɪkl
allegro	əˈleɡrəʊ
allele	əˈliːl
alleluia	ˌælɪˈluːjə
allergen	ˈælədʒən
allergic	əˈlɜːdʒɪk
alleviate	əˈliːvieɪt
alleviation	əˌliːviˈeɪʃn
allergy	ˈælədʒi
alley	ˈæli
alliance	əˈlaɪəns
allied	ˈælaɪd
alligator	ˈælɪɡeɪtə(r)
allium	ˈæliəm
allocate	ˈæləkeɪt
allocation	ˌæləˈkeɪʃn
allophone	ˈæləfəʊn
allot	əˈlɒt
allomorph	ˈæləmɔːf
allosaurus	ˌæləˈsɔːrəs
allotment	əˈlɒtmənt
allotrope	ˈælətrəʊp
allotropy	əˈlɒtrəpi
allowable	əˈlaʊəbl
allow	əˈlaʊ
alliteration	əˌlɪtəˈreɪʃn
alliterative	əˈlɪtrətɪv
allowance	əˈlaʊəns
allude	əˈluːd
allusion	əˈluːʒn
alluvial	əˈluːviəl
ally	ˈælaɪ
allure	əˈlʊə(r)
alluvium	əˈluːviəm
allspice	ˈɔːlspaɪs
alluring	əˈlʊərɪŋ
alluringly	əˈlʊərɪŋli
allusive	əˈluːsɪv
almanac	ˈɔːlmənæk
almighty	ɔːlˈmaɪti
alloy	ˈælɔɪ
alms	ɑːmz
almoner	ˈɑːmənə(r)
almshouse	ˈɑːmzhaʊs
almond	ˈɑːmənd
almost	ˈɔːlməʊst
alone	əˈləʊn
along	əˈlɒŋ
aloe	ˈæləʊ
aloft	əˈlɒft
alongside	əˌlɒŋˈsaɪd
alopecia	ˌæləˈpiːʃə
alphabet	ˈælfəbet
alphabetical	ˌælfəˈbetɪkl
alphabetically	ˌælfəˈbetɪkli
aloha	əˈləʊhə
alphabetic	ˌælfəˈbetɪk
aloof	əˈluːf
aloofness	əˈluːfnəs
aloud	əˈlaʊd
alphabetize	ˈælfəbətaɪz
alpha	ˈælfə
alpaca	ælˈpækə
alphanumeric	ˌælfənjuːˈmerɪk
alpenhorn	ˈælpənhɔːn
alpine	ˈælpaɪn
alphorn	ˈælphɔːn
alpinist	ˈælpɪnɪst
alpinism	ˈælpɪnɪzəm
altarpiece	ˈɔːltəpiːs
altar	ˈɔːltə(r)
alright	ɔːlˈraɪt
alter	ˈɔːltə(r)
alterable	ˈɔːltərəbl
also	ˈɔːlsəʊ
alternate	ɔːlˈtɜːnət
alternately	ɔːlˈtɜːnətli
alternative	ɔːlˈtɜːnətɪv
alteration	ˌɔːltəˈreɪʃn
already	ɔːlˈredi
alternator	ˈɔːltəneɪtə(r)
altogether	ˌɔːltəˈɡeðə(r)
alto	ˈæltəʊ
altitude	ˈæltɪtjuːd
altocumulus	ˌæltəʊˈkjuːmjʊləs
altocumuli	ˌæltəʊˈkjuːmjʊlaɪ
altocumuli	ˌæltəʊˈkjuːmjʊliː
alternatively	ɔːlˈtɜːnətɪvli
altruism	ˈæltruɪzəm
altruistic	ˌæltruˈɪstɪk
altostratus	ˌæltəʊˈstrɑːtəs
altostrati	ˌæltəʊˈstrɑːtaɪ
altostrati	ˌæltəʊˈstreɪtaɪ
altostrati	ˌæltəʊˈstrɑːtiː
altostrati	ˌæltəʊˈstreɪtiː
although	ɔːlˈðəʊ
altimeter	ˈæltɪmiːtə(r)
aluminium	ˌæljəˈmɪniəm
alumina	əˈluːmɪnə
